model,real_ranking_shift,shuffle_mean,shuffle_p05,shuffle_median,shuffle_p95,real_percentile,outside_central_90,stronger_than_95pct_in_improving_direction,permutations,strata
BTYD05,5.515679662153924e-05,-3.0969321118599575e-06,-4.073496622474723e-05,-2.6417516201724907e-06,3.068635664446515e-05,1.0,True,False,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
FRESH,-5.933966490582039e-05,-3.2272328066922622e-06,-2.3113488519217124e-05,-4.290619644004809e-06,1.5544175345865478e-05,0.0,True,True,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
ZERO2D,-3.726946441621034e-05,1.9208179991249616e-06,-1.1441912019276895e-05,2.299305340632989e-06,1.5435404166375122e-05,0.0,True,True,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
SEQ_SLOT_25,5.759617604215806e-06,-1.7593229978467902e-06,-2.946116667256352e-05,-2.9490199518398883e-06,2.3561469783447576e-05,0.69,False,False,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
SEQ_SLOT_50,0.0,-1.1419436824715897e-17,-1.2688263138573217e-16,0.0,3.172065784643304e-17,0.93,False,False,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
SEQ_SLOT_75,-5.8569466568427246e-06,1.3020450832817104e-06,-2.3491264077646356e-05,2.566467467086337e-06,2.9829866254286007e-05,0.31,False,False,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
BTYD05_FRESH1,-4.638107050774229e-06,-5.992785828693572e-06,-4.5762403229947784e-05,-7.212387143533958e-06,3.462577427408065e-05,0.54,False,False,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
CAP,-0.00032162707814339594,-2.064627421832062e-05,-0.0003219505223061787,-9.526607927318013e-06,0.0002773291566832745,0.06,False,False,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
DIST,-0.0002520157256399474,-5.709814432580366e-06,-0.0001463438079259115,-7.088481396474696e-06,0.00013917011817601288,0.0,True,True,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
ETX-AVG3,8.598341437858286e-05,5.557582745442557e-06,-0.00015526819242715244,9.222748762551121e-06,0.0001701294576689533,0.82,False,False,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
SEQ-AVG3,0.0001247336071447272,-6.9088050649919116e-06,-0.0001945237029260544,-6.5923063284108055e-06,0.00015590932783411692,0.89,False,False,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
BTYD,0.00043546139989961846,-0.0007222075700696912,-0.0014806715550243644,-0.0006947368921625431,-8.187052230610726e-05,1.0,True,False,100,"fold x rec_buy[0-14,15-60,>60] x w180_days_buy[0-1,2-15,16+]"
