scheme,model,base_score,score,delta,fold_scores,fold_base_scores,fold_deltas,signs,improved_folds,fold_offsets,fold_base_offsets
A_STANDARD_3F,BTYD05,1.7546313437455936,1.7542364744130214,-0.00039486933257209297,"[1.7662286882524283, 1.7599386434229134, 1.7483873364482236]","[1.7668833567997195, 1.7605095767798136, 1.748629223964952]","[-0.0006546685472912372, -0.0005709333569001718, -0.00024188751672826747]","[""-"", ""-"", ""-""]",3,"[-0.10030743519317234, -0.06131930590552335, -0.006698953601515847]","[-0.11734465876764338, -0.07873621159214053, -0.02097755276250928]"
A_STANDARD_3F,FRESH,1.7546313437455936,1.75443891990491,-0.00019242384068337718,"[1.7666404876037531, 1.7603457139640983, 1.7484351309506052]","[1.7668833567997195, 1.7605095767798136, 1.748629223964952]","[-0.00024286919596638867, -0.0001638628157152322, -0.0001940930143466968]","[""-"", ""-"", ""-""]",3,"[-0.11734445661741116, -0.07873621159214048, -0.020977552762509278]","[-0.11734465876764338, -0.07873621159214053, -0.02097755276250928]"
A_STANDARD_3F,BTYD05_FRESH1,1.7546313437455936,1.754084676094529,-0.0005466676510642429,"[1.7660482034129645, 1.759805780762818, 1.748233241930776]","[1.7668833567997195, 1.7605095767798136, 1.748629223964952]","[-0.0008351533867549943, -0.0007037960169955504, -0.0003959820341759013]","[""-"", ""-"", ""-""]",3,"[-0.10030732923966469, -0.06131930590552328, -0.006698953601515843]","[-0.11734465876764338, -0.07873621159214053, -0.02097755276250928]"
A_STANDARD_3F,ZERO2D,1.7546313437455936,1.7546122911199569,-1.905262563647473e-05,"[1.7669191743415928, 1.7605145128134958, 1.7485844594677786]","[1.7668833567997195, 1.7605095767798136, 1.748629223964952]","[3.581754187331754e-05, 4.9360336822346085e-06, -4.476449717327746e-05]","[""+"", ""+"", ""-""]",1,"[-0.11271433687689565, -0.07420304362670621, -0.017441581732531592]","[-0.11734465876764338, -0.07873621159214053, -0.02097755276250928]"
A_STANDARD_3F,SEQ_SLOT_25,1.7546313437455936,1.7545859475917085,-4.539615388513393e-05,"[1.766728163443266, 1.7604079739996668, 1.7486393804248397]","[1.7668833567997195, 1.7605095767798136, 1.748629223964952]","[-0.00015519335645342025, -0.00010160278014681445, 1.0156459887777913e-05]","[""-"", ""-"", ""+""]",2,"[-0.10467780895937277, -0.06827674781948408, -0.006658632964186069]","[-0.11734465876764338, -0.07873621159214053, -0.02097755276250928]"
A_STANDARD_3F,SEQ_SLOT_50,1.7546313437455936,1.7546313437455936,0.0,"[1.7668833567997195, 1.7605095767798136, 1.748629223964952]","[1.7668833567997195, 1.7605095767798136, 1.748629223964952]","[0.0, 0.0, 0.0]","[""0"", ""0"", ""0""]",0,"[-0.11734465876764334, -0.07873621159214049, -0.02097755276250925]","[-0.11734465876764338, -0.07873621159214053, -0.02097755276250928]"
A_STANDARD_3F,SEQ_SLOT_75,1.7546313437455936,1.7548327729664017,0.0002014292208081882,"[1.7672194895405842, 1.760776443996356, 1.7487642583078788]","[1.7668833567997195, 1.7605095767798136, 1.748629223964952]","[0.0003361327408646364, 0.0002668672165424546, 0.00013503434292694294]","[""+"", ""+"", ""+""]",0,"[-0.13001153866393822, -0.08919567536479693, -0.035296472560832445]","[-0.11734465876764338, -0.07873621159214053, -0.02097755276250928]"
B_K3_3F,BTYD05,1.7604688784032436,1.7600398129379187,-0.00042906546532523696,"[1.7763326241053916, 1.7654731283513787, 1.7532499524393201]","[1.777039186663626, 1.7660858903285137, 1.7535177953755132]","[-0.0007065625582343138, -0.0006127619771350012, -0.00026784293619308563]","[""-"", ""-"", ""-""]",3,"[-0.08189696258758425, -0.048806778666888095, 0.005539612459299812]","[-0.0990544117774113, -0.06632060287482912, -0.008797529077512023]"
B_K3_3F,FRESH,1.7604688784032436,1.7602875327329524,-0.00018134567029126636,"[1.7766395752742716, 1.765951707729767, 1.7533674345992154]","[1.777039186663626, 1.7660858903285137, 1.7535177953755132]","[-0.00039961138935429297, -0.00013418259874664606, -0.00015036077629781985]","[""-"", ""-"", ""-""]",3,"[-0.09839847527706498, -0.06636928422029559, -0.009075100154397706]","[-0.0990544117774113, -0.06632060287482912, -0.008797529077512023]"
B_K3_3F,BTYD05_FRESH1,1.7604688784032436,1.7598992637653974,-0.0005696146378465018,"[1.7759940391824636, 1.7653700168565387, 1.75314019336556]","[1.777039186663626, 1.7660858903285137, 1.7535177953755132]","[-0.0010451474811623562, -0.0007158734719749926, -0.00037760200995329285]","[""-"", ""-"", ""-""]",3,"[-0.0812411480189114, -0.048855460012354565, 0.005262041382414129]","[-0.0990544117774113, -0.06632060287482912, -0.008797529077512023]"
