w_seq,wcv,better,fold_0904,fold_0918,fold_1002,fold_1016
0.0,1.7494835973237886,0,1.7691335679979736,1.762566098123157,1.7507266460832276,1.743135201409954
0.05,1.7491482222556256,4,1.768724829454364,1.7621639164507001,1.750372334374381,1.742835166747637
0.1,1.7488650403034853,4,1.7683665156437394,1.7618154947114077,1.750069988160784,1.7425872683553236
0.15,1.7486340817509634,4,1.7680587308726692,1.7615208649930378,1.749819634379335,1.7423915284860456
0.2,1.7484553672875511,4,1.7678015015786808,1.7612800542908347,1.7496212953488675,1.7422479647196811
0.25,1.7483289129450437,4,1.7675948501296188,1.7610930846823278,1.7494749887602117,1.7421565899550666
0.3,1.7482547300585143,4,1.7674387943363734,1.760959973317223,1.749380727668312,1.7421174124042058
0.35,1.7482328252716712,4,1.767333347601756,1.7608807324095404,1.7493385204864034,1.7421304355885774
0.4,1.7482632005385481,4,1.7672785189847124,1.7608553692320132,1.7493483709822581,1.7421956583375564
0.45,1.7483458531226235,4,1.7672743131964326,1.7608838861127023,1.7494102782765049,1.742313074788937
0.5,1.7484807755901497,4,1.767320730598325,1.7609662803746498,1.7495242368430197,1.7424826743915678
