exp,w_seq,wcv,better,f_0904,f_0918,f_1002,f_1016
SEQ-01-S42,0.0,1.7494835973237886,0,1.7691335679979736,1.762566098123157,1.7507266460832276,1.743135201409954
SEQ-01-S42,0.05,1.7491482222556256,4,1.768724829454364,1.7621639164507001,1.750372334374381,1.742835166747637
SEQ-01-S42,0.1,1.7488650403034853,4,1.7683665156437394,1.7618154947114077,1.750069988160784,1.7425872683553236
SEQ-01-S42,0.15,1.7486340817509634,4,1.7680587308726692,1.7615208649930378,1.749819634379335,1.7423915284860456
SEQ-01-S42,0.2,1.7484553672875511,4,1.7678015015786808,1.7612800542908347,1.7496212953488675,1.7422479647196811
SEQ-01-S42,0.25,1.7483289129450437,4,1.7675948501296188,1.7610930846823278,1.7494749887602117,1.7421565899550666
SEQ-01-S42,0.3,1.7482547300585143,4,1.7674387943363734,1.760959973317223,1.749380727668312,1.7421174124042058
SEQ-01-S42,0.35,1.7482328252716712,4,1.767333347601756,1.7608807324095404,1.7493385204864034,1.7421304355885774
SEQ-01-S42,0.4,1.7482632005385481,4,1.7672785189847124,1.7608553692320132,1.7493483709822581,1.7421956583375564
SEQ-01-S42,0.45,1.7483458531226235,4,1.7672743131964326,1.7608838861127023,1.7494102782765049,1.742313074788937
SEQ-01-S42,0.5,1.7484807755901497,4,1.767320730598325,1.7609662803746498,1.7495242368430197,1.7424826743915678
SEQ-01-S43,0.0,1.7494835973237886,0,1.7691335679979736,1.762566098123157,1.7507266460832276,1.743135201409954
SEQ-01-S43,0.05,1.749105420956378,4,1.7687129769289298,1.762144449302967,1.7503495461701808,1.7427726567662607
SEQ-01-S43,0.1,1.748774779871382,4,1.7683429516276103,1.761774393532988,1.7500212717357826,1.7424556090542518
SEQ-01-S43,0.15,1.7484917060028846,4,1.768023597103693,1.761455963496261,1.749741850260927,1.742184083112918
SEQ-01-S43,0.2,1.7482562225501987,4,1.7677549414021656,1.761189187202214,1.749511305153121,1.7419581002292381
SEQ-01-S43,0.25,1.7480683487971764,4,1.767537007719141,1.760974088126481,1.7493296557366942,1.741777678129846
SEQ-01-S43,0.3,1.7479281001244185,4,1.7673698146796015,1.7608106852075915,1.749196917244706,1.7416428309740835
SEQ-01-S43,0.35,1.7478354880212768,4,1.767253376604016,1.7606989928386416,1.749113100812564,1.7415535693484494
SEQ-01-S43,0.4,1.747790520079457,4,1.7671877034769659,1.7606390208609564,1.7490782134733547,1.7415099002624448
SEQ-01-S43,0.45,1.747793199976226,4,1.7671728007377343,1.7606307745597563,1.7490922581548918,1.741511827145822
SEQ-01-S43,0.5,1.7478435274510684,4,1.7672086689505069,1.7606742546618301,1.7491552336784904,1.741559349847237
SEQ-01-S44,0.0,1.7494835973237886,0,1.7691335679979736,1.762566098123157,1.7507266460832276,1.743135201409954
SEQ-01-S44,0.05,1.7491273742265077,4,1.7687170817098998,1.762222008054229,1.7503358675071383,1.742800755693838
SEQ-01-S44,0.1,1.748822382731444,4,1.7683507079098097,1.7619257542991849,1.7499970086091556,1.7425181862533572
SEQ-01-S44,0.15,1.7485686513478875,4,1.7680345030124227,1.7616773611785568,1.7497100995544685,1.7422875183288629
SEQ-01-S44,0.2,1.74836620343881,4,1.7677685098012461,1.7614768489394221,1.7494751659019656,1.742108772536775
SEQ-01-S44,0.25,1.7482150568031,4,1.7675527509234101,1.7613242339343105,1.7492922285928674,1.7419819648603752
SEQ-01-S44,0.3,1.7481152247298186,4,1.767387244811275,1.7612195286145438,1.7491613039413996,1.741907106642665
SEQ-01-S44,0.35,1.7480667159947105,4,1.7672720057098845,1.7611627415251563,1.7490824036275254,1.741884204581295
SEQ-01-S44,0.4,1.748069534837883,4,1.7672070433939275,1.7611538773014108,1.749055534691736,1.741913260725569
SEQ-01-S44,0.45,1.7481236809708345,4,1.7671923632968527,1.761192936666906,1.74908069953191,1.7419942724755266
