segment,exp,n,share,mse_share,rmsle,auc,rmsle_folds,auc_folds
ВСЕ,S1-ROUNDS,770616,1.0,1.0,1.7510761896769207,0.8431008885067256,"[1.77106, 1.7648, 1.75243, 1.74447]","[0.83925, 0.84137, 0.84307, 0.84403]"
ВСЕ,SEQ-AVG2,770616,1.0,1.0,1.7501588265101116,0.842649690633595,"[1.76878, 1.7629, 1.75112, 1.74417]","[0.8397, 0.84131, 0.84264, 0.84336]"
ВСЕ,SEQ-AVG3,770616,1.0,1.0,1.7496342261632283,0.8427671952936742,"[1.76816, 1.76225, 1.75052, 1.74372]","[0.8398, 0.84143, 0.84286, 0.84343]"
rec_buy 15-60,S1-ROUNDS,223152,0.28957613130275,0.3587213158607483,1.9499512434005737,0.719118073555056,"[1.97314, 1.95822, 1.95258, 1.94367]","[0.71693, 0.72002, 0.71733, 0.72006]"
rec_buy 15-60,SEQ-AVG2,223152,0.28957613130275,0.3584691286087036,1.9483292977015176,0.7192250989966937,"[1.96963, 1.95501, 1.95123, 1.94255]","[0.7191, 0.72094, 0.71691, 0.71997]"
rec_buy 15-60,SEQ-AVG3,223152,0.28957613130275,0.35844886302948,1.9476401964823404,0.7194991768212525,"[1.96894, 1.95439, 1.95037, 1.94193]","[0.71926, 0.72119, 0.71749, 0.72011]"
w180_days_buy 2-15,S1-ROUNDS,438482,0.5690019413040995,0.7066085934638977,1.9529046217600505,0.7175027221269185,"[1.97229, 1.96485, 1.95156, 1.94817]","[0.71575, 0.71786, 0.71861, 0.71708]"
w180_days_buy 2-15,SEQ-AVG2,438482,0.5690019413040995,0.7063002586364746,1.9516425450642902,0.7168264467203513,"[1.96897, 1.962, 1.95007, 1.94768]","[0.71737, 0.71822, 0.71803, 0.71581]"
w180_days_buy 2-15,SEQ-AVG3,438482,0.5690019413040995,0.7063797116279602,1.9511837482452392,0.7170560952725518,"[1.96832, 1.96149, 1.94941, 1.94735]","[0.71749, 0.71846, 0.71849, 0.71594]"
пересечение 2-15 x 15-60,S1-ROUNDS,181406,0.23540388468446022,0.3034403324127197,1.9902045885721842,0.6772714899594584,"[2.01073, 1.99528, 1.99441, 1.98427]","[0.67601, 0.6786, 0.6749, 0.67828]"
