ckpt,panel,seed,extrap,alpha,rmsle_cal
SEQ-01-S43-V0904,1016,43,77,0.0,1.7528794337176825
SEQ-01-S43-V0904,1016,43,77,0.25,1.7486820083110433
SEQ-01-S43-V0904,1016,43,77,0.5,1.7468755638024962
SEQ-01-S43-V0904,1016,43,77,0.75,1.7474661902084683
SEQ-01-S43-V0904,1016,43,77,1.0,1.7504462844795277
SEQ-01-S43-V0918,1016,43,63,0.0,1.750691830309977
SEQ-01-S43-V0918,1016,43,63,0.25,1.748186569964663
SEQ-01-S43-V0918,1016,43,63,0.5,1.7468029229122186
SEQ-01-S43-V0918,1016,43,63,0.75,1.7465302113370604
SEQ-01-S43-V0918,1016,43,63,1.0,1.7473557274324694
SEQ-01-S43-V1002,1016,43,49,0.0,1.7486660923377737
SEQ-01-S43-V1002,1016,43,49,0.25,1.7470737117972936
SEQ-01-S43-V1002,1016,43,49,0.5,1.7461842529250062
SEQ-01-S43-V1002,1016,43,49,0.75,1.745998789983007
SEQ-01-S43-V1002,1016,43,49,1.0,1.7465175472435892
SEQ-01-S44-V0904,1016,44,77,0.0,1.7538474650050269
SEQ-01-S44-V0904,1016,44,77,0.25,1.7505696283781866
SEQ-01-S44-V0904,1016,44,77,0.5,1.7488337907945228
SEQ-01-S44-V0904,1016,44,77,0.75,1.7486402764371793
SEQ-01-S44-V0904,1016,44,77,1.0,1.7499853512444095
SEQ-01-S44-V0918,1016,44,63,0.0,1.7512584506638198
SEQ-01-S44-V0918,1016,44,63,0.25,1.7489911589774931
SEQ-01-S44-V0918,1016,44,63,0.5,1.747895495518107
SEQ-01-S44-V0918,1016,44,63,0.75,1.7479730569943601
SEQ-01-S44-V0918,1016,44,63,1.0,1.7492220692802973
SEQ-01-S44-V1002,1016,44,49,0.0,1.7488987009111174
SEQ-01-S44-V1002,1016,44,49,0.25,1.747417148643299
SEQ-01-S44-V1002,1016,44,49,0.5,1.7466138604105919
SEQ-01-S44-V1002,1016,44,49,0.75,1.7464897721045314
SEQ-01-S44-V1002,1016,44,49,1.0,1.7470450284508168
SEQ-01C-S42-V0904,1016,42,77,0.0,1.7529184762913999
SEQ-01C-S42-V0904,1016,42,77,0.25,1.7497057307516564
SEQ-01C-S42-V0904,1016,42,77,0.5,1.7478516416487546
SEQ-01C-S42-V0904,1016,42,77,0.75,1.7473603352102818
SEQ-01C-S42-V0904,1016,42,77,1.0,1.748231373556492
