ckpt,panel,aug,shift,n_zero_left,rmsle,rmsle_cal,offset,mean_z,var_vs_k0,corr_vs_k0,d_cal
SEQ-03A-BASE-S42-V1016,2025-10-16,none,0,76,1.7500452161022517,1.7480793216714847,0.0829273389597052,2.5485918521881104,0.0,1.0,0.0
SEQ-03A-BASE-S42-V1016,2025-10-16,none,13,63,1.7535504935108013,1.7501283750305912,0.1094988776415425,2.522020101547241,0.00399034796282649,0.9992460965393714,0.002049053359106434
SEQ-03A-BASE-S42-V1016,2025-10-16,none,26,50,1.7570026743414202,1.7521889639871786,0.12997012012166423,2.501549005508423,0.010151222348213196,0.9979646538657806,0.004109642315693884
SEQ-03A-BASE-S42-V1016,2025-10-16,none,38,38,1.755806077363544,1.7531751912209332,0.09608189316515058,2.5354371070861816,0.013705011457204819,0.9971227234884819,0.005095869549448517
SEQ-03A-BASE-S42-V1016,2025-10-16,none,51,25,1.755500944915732,1.7533151912921408,0.0875751539206856,2.5439441204071045,0.015280979685485363,0.9967781255031735,0.005235869620656031
SEQ-03A-BASE-S42-V1016,2025-10-16,none,64,12,1.7542366886465612,1.7541802531899278,0.014071215731894588,2.617448091506958,0.020361438393592834,0.9957336921866803,0.006100931518443042
SEQ-03A-BASE-S42-V1016,2025-10-16,none,76,0,1.7549090619594883,1.7545877662470901,-0.0335819741533487,2.665091037750244,0.023066723719239235,0.99516660203974,0.006508444575605399
SEQ-03A-B-S42-V1016,2025-10-16,avail_bnd,0,76,1.7522210861151615,1.7498629677010373,0.09087534811550727,2.5406436920166016,0.0,1.0,0.0
SEQ-03A-B-S42-V1016,2025-10-16,avail_bnd,13,63,1.7527003155773868,1.7500294308976376,0.09672325065443732,2.5347957611083984,0.0002468910242896527,0.9999491599282875,0.00016646319660029718
SEQ-03A-B-S42-V1016,2025-10-16,avail_bnd,26,50,1.7527718223520954,1.7500033166399942,0.09847564663664704,2.533043622970581,0.00038951539318077266,0.9999196330098122,0.00014034893895686906
SEQ-03A-B-S42-V1016,2025-10-16,avail_bnd,38,38,1.7524829679343459,1.7498438893007884,0.09614008517087597,2.53537917137146,0.0004712952650152147,0.999901530565583,-0.0000190784002489508
SEQ-03A-B-S42-V1016,2025-10-16,avail_bnd,51,25,1.752137531023634,1.7496891055375454,0.09259568880255988,2.538923501968384,0.0005300799966789782,0.9998888703592723,-0.0001738621634919113
SEQ-03A-B-S42-V1016,2025-10-16,avail_bnd,64,12,1.7519116311611787,1.7496435774651011,0.08911630172389545,2.542402982711792,0.0005780286737717688,0.9998788243203821,-0.000219390235936201
SEQ-03A-B-S42-V1016,2025-10-16,avail_bnd,76,0,1.752002969568032,1.7496607764949221,0.09056253403250386,2.540956735610962,0.000598034355789423,0.9998746303890109,-0.0002021912061151987
SEQ-03A-A25-S42-V1016,2025-10-16,avail_drop,0,76,1.7501766454020957,1.749132238272049,0.060454140870128015,2.5710649490356445,0.0,1.0,0.0
SEQ-03A-A25-S42-V1016,2025-10-16,avail_drop,13,63,1.7504790073850847,1.7492716073760932,0.06500460694236007,2.566514492034912,0.00040570524288341403,0.9999154430818179,0.000139369104044329
SEQ-03A-A25-S42-V1016,2025-10-16,avail_drop,26,50,1.7504765743597261,1.7492579910956916,0.06530480816928265,2.5662143230438232,0.0008276957087218761,0.9998273781260172,0.00012575282364268858
SEQ-03A-A25-S42-V1016,2025-10-16,avail_drop,38,38,1.7504105797380156,1.749251626321323,0.06368630520749974,2.5678329467773438,0.0011676574358716607,0.9997550513522089,0.00011938804927402735
SEQ-03A-A25-S42-V1016,2025-10-16,avail_drop,51,25,1.749875572218346,1.749160412391737,0.05002369406642564,2.581495523452759,0.0013324266765266657,0.9997189135831062,0.00002817411968814021
SEQ-03A-A25-S42-V1016,2025-10-16,avail_drop,64,12,1.7495997685363829,1.7491624964288535,0.039114078659051074,2.592405080795288,0.001520192832686007,0.9996791243085605,0.000030258156804574554
SEQ-03A-A25-S42-V1016,2025-10-16,avail_drop,76,0,1.7493296562626874,1.749123469380095,0.026857683144168372,2.604661226272583,0.001672925311140716,0.9996465962990239,-8.768891953891966e-6
