cutoff,code,n,weight_sum,weight_mean,weight_max,ess_fraction
2025-04-03,0,197912,197929.6234805584,1.0000890493392944,3.237835645675659,0.9083192882880033
2025-04-10,1,198671,198681.95395720005,1.0000550746917725,4.2357988357543945,0.8862224946524316
2025-04-17,2,199382,199388.16479933262,1.0000309944152832,4.124415874481201,0.8563794355153719
2025-04-24,3,199994,199997.74469527602,1.0000187158584595,4.914551258087158,0.8294371308275446
2025-05-01,4,200639,200642.65325051546,1.0000182390213013,4.555646896362305,0.8093941140892785
2025-05-08,5,201274,201278.85465025902,1.0000241994857788,3.9756627082824707,0.7991436603885278
2025-05-15,6,201556,201562.60254219174,1.000032663345337,3.8636772632598877,0.7954442942495136
2025-05-22,7,202557,202564.47003298998,1.0000368356704712,3.904794931411743,0.7935640820248528
2025-05-29,8,203292,203301.47830227017,1.0000466108322144,3.738333225250244,0.7938963171414327
2025-06-05,9,203992,204002.69377079606,1.0000524520874023,3.3144216537475586,0.7934105701542425
2025-06-12,10,205122,205133.5070436597,1.0000560283660889,3.3098878860473633,0.7927905957453781
2025-06-19,11,205683,205695.2269897908,1.0000593662261963,3.205543279647827,0.7947942455005492
2025-06-26,12,206429,206440.84592959285,1.000057339668274,3.5061087608337402,0.797838240757953
2025-07-03,13,207093,207102.15169934928,1.0000442266464233,3.4349889755249023,0.7990203905451794
2025-07-10,14,207577,207582.268001467,1.0000253915786743,3.3916211128234863,0.7983493059598342
2025-07-17,15,208274,208273.45904758573,0.9999974370002747,3.3335511684417725,0.7939731918625492
2025-07-24,16,209056,209047.61232881248,0.9999597668647766,3.2849180698394775,0.7868532924574763
2025-07-31,17,209914,209897.32865300775,0.9999206066131592,3.2338829040527344,0.7762715163339505
2025-08-07,18,211018,210998.6241160184,0.9999082088470459,3.1902194023132324,0.7667911932097059
2025-08-14,19,212368,212348.56889986992,0.999908447265625,3.1423697471618652,0.7591749564506711
2025-08-21,20,213792,213773.07463802397,0.9999114274978638,3.1001482009887695,0.752981603600953
2025-08-28,21,215249,215231.53367958963,0.9999188184738159,3.049132823944092,0.7457885031154718
2025-09-04,22,216510,216493.43153119087,0.9999235272407532,3.023125410079956,0.7393427556647904
2025-09-11,23,217820,217806.1308403015,0.9999364018440247,2.985619306564331,0.734097985034471
