rows_per_user,users,fraction_users
1,1052,0.004475148462624853
2,1071,0.004555973387330055
3,1266,0.005385492351409757
4,2376,0.010107369531555752
5,2184,0.009290612397692662
6,1754,0.0074614167333117805
7,1805,0.007678367846994163
8,2103,0.00894604298184417
9,2347,0.009984005172795182
10,2360,0.010039306437067162
11,2565,0.010911364835202232
12,2707,0.011515424798788476
13,2949,0.012544879102928414
14,3159,0.01343820721809117
15,3417,0.0145357246167197
16,3770,0.016037366638874236
17,4298,0.018283448756997736
18,4839,0.020584832139393217
19,5452,0.02319249944698736
20,6484,0.02758256904150147
21,7598,0.03232146199526961
22,9932,0.04225016590379282
23,13395,0.05698157191716721
24,146193,0.6218967482856608
