stratum,cutoff_code,rec_buy_bin,w180_days_buy_bin,n,row_fraction,weight_fraction,mean_weight,multiset_exact,multiset_sha256
0,0,0,0,6099,0.0012308346790647514,0.0012207828111340411,0.9918333292007446,True,50244ad5c5330b15420390db676987af45a11e76e5a3011f7f5c16537d105898
1,0,0,1,56021,0.011305556575813483,0.011266030184802855,0.9965038299560547,True,21a8674023c0e5e6055a72fec968dd1663380398a4ca7a2c4ce17e3e0a6ba0d5
2,0,0,2,9321,0.0018810641160128786,0.0015005233508107358,0.7976992130279541,True,32cdd91041ce6aee1e1ba396e62e0edb71b34f6c37b063d4e2677f54bba1423a
3,0,1,0,15467,0.0031213838303155448,0.00329475811506607,1.0555440187454224,True,9db5cd146b63e0cc26b3a979a0638113ef6a07e97e35c12e1f036ffca5244295
4,0,1,1,39723,0.008016469250121186,0.008478352192251477,1.0576167106628418,True,9c87b74e0cd889d8134700c9873db2f74c348c83c3f544f97ce17a59f8e8dd05
5,0,1,2,323,6.518439110311767e-05,5.442082148353951e-05,0.8348749876022339,True,6e92f067309f6913c55ac8b00ef6327299e0966a8cadcb4e04f00cfd54d77338
6,0,2,0,67554,0.013633022775789509,0.013268479382436136,0.9732602834701538,True,d7611bf3e418db0014a8bac9a94993b68b07228c441251cd4a47aac5ce01e51b
7,0,2,1,3404,0.0006869587223375001,0.0008606840409368766,1.2528905868530273,True,278f7c93923e70e5084175241048564091cb7840e8d38d5ad47178a8d7252d0c
9,1,0,0,5280,0.0010655528948125736,0.0010426728249680352,0.9785274863243103,True,52c2d8e2aadbcb054f6c4307248b21af44c8af57c5742375e0a3393ef3d2bb7c
10,1,0,1,53995,0.010896691014281234,0.010810697237918925,0.9921082258224487,True,415f9449186a3cb7d7d20c67aef88896744ea5f4e055dc538bf754bbaa1e8eb1
11,1,0,2,10726,0.0021646061268484214,0.001655134586877154,0.7646355032920837,True,e29888989463636102b2afa9b545ff13c1e49ee9f8886ee704898cf2499afdb3
12,1,1,0,14614,0.0029492405312104074,0.0030977057564928476,1.0503400564193726,True,a5039f36e531b7a021d05f1eeafe071a2b800fddf123afedd7cf4619e3a1dd6b
13,1,1,1,42516,0.008580122514365792,0.009198032630181135,1.0720164775848389,True,74de701962d3053d8a55d60ed66b244f5d9c1e47f1d65f2459fd1ee3606f39e6
14,1,1,2,529,0.00010675709874163854,8.870820000217669e-05,0.8309348821640015,True,a3a855328fe4a44ae22827dd6074ec966ebff3f1261f2ac59203db533066a2e1
15,1,2,0,66570,0.013434442463574437,0.013001670165603961,0.9677863121032715,True,a954e8bf984e49dc9541ea7acd0650b3663ae7acf80a74a60ddb5c48f1cbfc7e
16,1,2,1,4441,0.0008962349253527727,0.0012012367538425277,1.340314507484436,True,213443ec06c4f88c3c2321caea6fe35cc490fc35e0a0621371e13269bfecfe6a
18,2,0,0,5317,0.001073019837446677,0.0010239270951759908,0.9542480111122131,True,c90888aec516218c0bcec58bb7a239b57b997ada4813c7ed4564742c79ff5dd7
19,2,0,1,54548,0.011008291535272021,0.011045025183825444,1.0033369064331055,True,afd27a8295dd94cf687d118c6ecf04871b973fc5423ac7469de458eae39427f7
20,2,0,2,12333,0.0024889136082809605,0.0018793202186178058,0.7550764679908752,True,8e059c8045b5cd568ab5d4e6c97f292ad39e93e9333f5d9c15f588fd5bdf5866
21,2,1,0,13120,0.002647737496200941,0.00271608387828562,1.025813102722168,True,b8abbb88e466e2d954bf9cf1855994d6a6d31cf038278b987446e888ab1e3655
22,2,1,1,42606,0.008598285347800097,0.00945866839659163,1.1000646352767944,True,5f5d88e7f256a3aa7e2a66264082c5d80a1f61ca77ab4d7ecbaaca5d94fd8dae
23,2,1,2,704,0.00014207371930834316,0.0001253115390316877,0.8820178508758545,True,0d8acc712bf4617e8bb67cad760f1abd92518eb25b6cff8f56787f3112766a07
24,2,2,0,65160,0.013149891406436989,0.012411907409076803,0.9438791275024414,True,c8e3a036474d9449c9ddb90c44f53d8532dfab9404282cfef6c24ffe65917e6f
25,2,2,1,5594,0.0011289210025722607,0.0015781343229228934,1.397913932800293,True,fa960cd7c9b2d313710ff4905c332186633ab2d996fa1a9a55ad5308e8ea3313
27,3,0,0,5327,0.0010750379300504887,0.0009722369959231007,0.9043745994567871,True,ea688fc10b77e461336af87272899fa2299829e42efeef1ca282663d3dd89988
28,3,0,1,54725,0.011044011774359487,0.01131436092762539,1.0244792699813843,True,752273b436d8dc1a1b25ad4591038a76cdb502ff1e1428fe6d2ab9930b20d680
29,3,0,2,13922,0.0028095885230266385,0.002215782539066411,0.7886502146720886,True,3f748b99b4dc7e549c619fdb9c9e2224d4b5ab7c273de853c83866ea6fdd0719
30,3,1,0,11734,0.00236802986131264,0.0023218846439659576,0.9805132150650024,True,eaf864cdc4d509dde69f9e2953fccaddd19f48ff4aac74de841acb6e22adf997
31,3,1,1,42408,0.008558327114244625,0.009676148383400205,1.1306121349334717,True,c8e347746947168d8f583206132de5a466d172db3e9dc89634e906d996555873
32,3,1,2,914,0.0001844536639883887,0.0001840333937789925,0.9977216124534607,True,cb7a191baa60ff5db6dc6e0eb5a389044caebfccdd27461c13eee27becdeb07d
33,3,2,0,63981,0.01291195828844759,0.01166979433756802,0.903797447681427,True,1833c2b70a3effcec851d5c662109e90e1817fcce244a439a58177c6394e2267
34,3,2,1,6982,0.0014090322559813238,0.0020067646053124103,1.4242147207260132,True,45dfe5c48a100881d1d9c6f0c078e3498f9f18aae5b9c200ad539c20b44e23d1
35,3,2,2,1,2.0180926038116927e-07,3.9108475946585566e-07,1.937893033027649,True,aba97010f8d49ca031270acf948060378d9dacf24cd8e1ed0cb94f698b395e21
36,4,0,0,4750,0.0009585939868105539,0.0008151973317484677,0.8504093289375305,True,7dd094b7840958259695db2ea640a55d2ff39e5a973d37d35894f348b337b014
37,4,0,1,53340,0.010764505948731568,0.01134669808012826,1.0540844202041626,True,1b89adecd6471fd9fbb60c18873c1243f934a927a05d2461f624b5b19a55ec4f
38,4,0,2,15536,0.0031353086692818455,0.0027208831672782194,0.8678198456764221,True,e98b104a4046edc67f38e960eb673d3f371e7741063ad15ec46f85041c680bd0
39,4,1,0,11023,0.0022245434771816287,0.0020795257069579926,0.9348100423812866,True,9d218ea5f43ef5f6ac28a151e7ece841b537a96962afd44f3f676ede1982271d
40,4,1,1,43606,0.008800094608181267,0.010099619854740336,1.1476718187332153,True,5afc87d725d037cbf79bbec33152269769d99a77b3482cfe246b97510f7fc876
41,4,1,2,1237,0.0002496380550915064,0.00028357967772726136,1.1359632015228271,True,bc909a89f602aed4e5a9649290db6490bc1fe5a76f8b9cbe57b35740cfcdd014
42,4,2,0,62875,0.012688757246466018,0.010813202182628295,0.8521876335144043,True,d2d2e582392cf683f15d70b062608c4ad2a0f1d20c038a4888a65c8028c19811
43,4,2,1,8272,0.0016693662018730322,0.0023328394286618436,1.3974401950836182,True,e7c7d9239a85e37e2561b06add3cc6327f68a2c0b592881981cf1de0bf3370ae
