probe,requested_gap,actual_gap,seed,rounds,gcv,fold_0904,fold_0918,fold_1002,fold_1016
e10,30,35,42,150,1.751414965,1.772000,1.765384,1.752987,1.744564
e10,60,63,42,150,1.753911209,1.772037,1.766307,1.755946,1.747529
e10,90,91,42,150,1.754935808,1.772749,1.767450,1.755831,1.749133
e10,120,126,42,150,1.756366450,1.778179,1.769361,1.756602,1.750273
e03a,30,35,42,100,1.760902675,1.777636,1.773699,1.762526,1.754800
e03a,60,63,42,100,1.762134947,1.777053,1.772808,1.763281,1.757029
e03a,90,91,42,100,1.762042833,1.777895,1.772516,1.762941,1.756994
e03a,120,126,42,100,1.762634600,1.780300,1.775096,1.763495,1.756881
e02,30,35,42,150,1.751409562,1.771308,1.764115,1.752991,1.744955
e02,60,63,42,100,1.753212921,1.771497,1.765850,1.754883,1.746933
e02,90,91,42,100,1.754729392,1.773875,1.768254,1.755654,1.748493
e02,120,126,42,100,1.756804925,1.776337,1.770547,1.757773,1.750444
dist,30,35,42,100,1.750845468,1.771746,1.765460,1.752194,1.743905
dist,60,63,42,100,1.753529090,1.771183,1.766063,1.755300,1.747303
dist,120,126,42,100,1.754827952,1.774040,1.767490,1.755760,1.748795
