train_blocks,seed,rounds,wcv,fold_0904,fold_0918,fold_1002,fold_1016
1,42,150,1.751167718,1.770603,1.764777,1.752461,1.744689
1,42,200,1.751030386,1.770773,1.764735,1.752327,1.744488
1,42,250,1.751042763,1.770942,1.764749,1.752296,1.744502
1,42,300,1.751076135,1.771059,1.764799,1.752425,1.744473
1,42,450,1.751407299,1.771603,1.765103,1.752827,1.744749
0,42,150,1.751131101,1.770740,1.764445,1.752382,1.744726
0,42,200,1.751027144,1.770922,1.764496,1.752160,1.744607
0,42,250,1.751033288,1.770993,1.764567,1.752050,1.744646
0,42,300,1.751129751,1.771099,1.764670,1.752114,1.744756
0,42,450,1.751483837,1.771707,1.765023,1.752315,1.745156
