arm,exp_id,seed,rounds,wcv,fold_cal,fold_scores,mean_z
baseline,S1-ROUNDS-R150,42,150,1.7511677184057333,"[1.7706030238158668, 1.764776994777314, 1.752461100216513, 1.7446892952311817]","[1.7720206400747696, 1.7652665700370953, 1.7528001363669439, 1.745327088814939]",2.6740178994864867
baseline,S1-ROUNDS-R200,42,200,1.7510303861747165,"[1.7707730467879186, 1.7647347024921611, 1.7523269602425449, 1.744488187484791]","[1.7724270952074332, 1.7653017824866741, 1.7526184102621303, 1.7450546559335376]",2.674867045714542
baseline,S1-ROUNDS-R250,42,250,1.7510427629722705,"[1.7709420872816322, 1.7647485100208293, 1.7522963587749067, 1.7445021127701426]","[1.7727151181610572, 1.7653613357473965, 1.752581935368756, 1.745049985920297]",2.6756978002966925
baseline,S1-ROUNDS-R300,42,300,1.7510761354262978,"[1.7710585353628023, 1.764798728982834, 1.7524253461227577, 1.744473081696871]","[1.7728967805515827, 1.7654544516552035, 1.7527093892355967, 1.7450177200735355]",2.6763929637610815
baseline,S1-ROUNDS-R450,42,450,1.7514072993880996,"[1.7716026897111932, 1.7651029066015507, 1.7528274518293783, 1.7447488975737109]","[1.7736461659197682, 1.7658622005124098, 1.7531222317907929, 1.745305930841081]",2.678653958038233
dense,SAMPLE-DENSE-S3-F422-S42-R150,42,150,1.7522385185536213,"[1.7713804215456717, 1.7656273915374658, 1.7539380488050176, 1.7456487973079555]","[1.7732216530829132, 1.7661688469063428, 1.754309302501373, 1.7464288329485624]",2.678669439868982
dense,SAMPLE-DENSE-S3-F422-S42-R200,42,200,1.7523386485160688,"[1.7717159944731091, 1.7658201292311075, 1.7541446030311076, 1.7456431328351596]","[1.7738322878982984, 1.7664562963980304, 1.7545045421593293, 1.7464324070299495]",2.6809477050907953
dense,SAMPLE-DENSE-S3-F422-S42-R250,42,250,1.7525468877252366,"[1.772017234920347, 1.7661663688383844, 1.7544523030032593, 1.7457555164085492]","[1.7742731971682928, 1.7668665862038446, 1.7548082507809406, 1.7465611483292174]",2.682306790334241
dense,SAMPLE-DENSE-S3-F422-S42-R300,42,300,1.7528836003262644,"[1.7725316937758382, 1.766595469140981, 1.7548489843016628, 1.7460169294536896]","[1.7749491293944069, 1.7673732734506171, 1.7552223857160885, 1.7468790065545072]",2.6844321411176124
dense,SAMPLE-DENSE-S3-F422-S42-R450,42,450,1.7537757236889726,"[1.7737347261003031, 1.7676831543660076, 1.7560014422593428, 1.7466911314331128]","[1.7765019711399082, 1.7686586389020056, 1.7564073236536721, 1.7475748103418611]",2.688151383599442
