exp,cutoff,rmsle_cal,auc
S1-SEEDAVG3,2025-09-04,1.77034,0.83947
S1-SEEDAVG3,2025-09-18,1.76399,0.84157
S1-SEEDAVG3,2025-10-02,1.75182,0.84325
S1-SEEDAVG3,2025-10-16,1.74391,0.84417
PT-OD-AVG3,2025-09-04,1.77053,0.83938
PT-OD-AVG3,2025-09-18,1.7641,0.8415
PT-OD-AVG3,2025-10-02,1.75186,0.84324
PT-OD-AVG3,2025-10-16,1.74404,0.84413
PT-FULL-AVG3,2025-09-04,1.77023,0.83945
PT-FULL-AVG3,2025-09-18,1.76399,0.84153
PT-FULL-AVG3,2025-10-02,1.75168,0.84332
PT-FULL-AVG3,2025-10-16,1.74398,0.84414
PT-SHUF-AVG3,2025-09-04,1.77037,0.83946
PT-SHUF-AVG3,2025-09-18,1.76396,0.84155
PT-SHUF-AVG3,2025-10-02,1.75175,0.84329
PT-SHUF-AVG3,2025-10-16,1.74389,0.84414
