component,rounds,scope,seed_a,seed_b,var_delta_z,pearson_prediction,standalone_seed_spread_std,standalone_seed_spread_range
UNC,200,ALL,42,43,0.005590404578930408,0.9988201831556224,3.3842911170438544e-05,6.274405083250834e-05
UNC,200,ALL,42,44,0.005589591369264888,0.9988180294213598,3.3842911170438544e-05,6.274405083250834e-05
UNC,200,ALL,43,44,0.005560973167196528,0.9988263875117345,3.3842911170438544e-05,6.274405083250834e-05
UNC,200,2025-09-04,42,43,0.005876439598049588,0.9987426352500732,5.968129764864799e-05,0.00010709982315337818
UNC,200,2025-09-04,42,44,0.006026706860189262,0.9987065796065457,5.968129764864799e-05,0.00010709982315337818
UNC,200,2025-09-04,43,44,0.005988625430140219,0.9987212128103039,5.968129764864799e-05,0.00010709982315337818
UNC,200,2025-09-18,42,43,0.0057155926324456785,0.9987822091637254,6.454002228043881e-05,0.0001260393556881123
UNC,200,2025-09-18,42,44,0.005701930434827089,0.9987846544436721,6.454002228043881e-05,0.0001260393556881123
UNC,200,2025-09-18,43,44,0.005708532137404054,0.9987840748538976,6.454002228043881e-05,0.0001260393556881123
UNC,200,2025-10-02,42,43,0.005603166130657187,0.9988230648356706,6.325912833434215e-05,0.00012356953159931017
UNC,200,2025-10-02,42,44,0.005491790646217958,0.9988445339051553,6.325912833434215e-05,0.00012356953159931017
UNC,200,2025-10-02,43,44,0.005357303048415633,0.9988747373062999,6.325912833434215e-05,0.00012356953159931017
UNC,200,2025-10-16,42,43,0.00518123287988053,0.9989233138537608,0.0001091807781327,0.00019433129323886966
UNC,200,2025-10-16,42,44,0.005150967096473641,0.9989292067870066,0.0001091807781327,0.00019433129323886966
UNC,200,2025-10-16,43,44,0.005202285486552484,0.9989192623850311,0.0001091807781327,0.00019433129323886966
UNC,250,ALL,42,43,0.006518139416017877,0.9986260028929003,2.730573342467639e-05,5.45983367019609e-05
UNC,250,ALL,42,44,0.006523372780848085,0.9986226636112611,2.730573342467639e-05,5.45983367019609e-05
UNC,250,ALL,43,44,0.006477580572995573,0.9986346057239404,2.730573342467639e-05,5.45983367019609e-05
UNC,250,2025-09-04,42,43,0.006976388818403062,0.9985093647707949,3.769124949336125e-05,6.893347118963611e-05
UNC,250,2025-09-04,42,44,0.007223269196260334,0.9984495143502735,3.769124949336125e-05,6.893347118963611e-05
UNC,250,2025-09-04,43,44,0.007061698547083911,0.9984925092881979,3.769124949336125e-05,6.893347118963611e-05
UNC,250,2025-09-18,42,43,0.006733953401912069,0.9985672764866443,4.66499429185755e-05,8.884258995678351e-05
UNC,250,2025-09-18,42,44,0.006683765115644697,0.9985776565659801,4.66499429185755e-05,8.884258995678351e-05
UNC,250,2025-09-18,43,44,0.006701869410918045,0.9985749531223979,4.66499429185755e-05,8.884258995678351e-05
UNC,250,2025-10-02,42,43,0.006393760819048053,0.9986582521506008,0.00013315319902347823,0.0002593791178358007
UNC,250,2025-10-02,42,44,0.0062712668756093725,0.9986824962759554,0.00013315319902347823,0.0002593791178358007
UNC,250,2025-10-02,43,44,0.006197712105778436,0.9986994979084309,0.00013315319902347823,0.0002593791178358007
UNC,250,2025-10-16,42,43,0.00597291345255893,0.9987602686175648,6.416261870107385e-05,0.000118783260693478
UNC,250,2025-10-16,42,44,0.005943101120119682,0.9987661012290173,6.416261870107385e-05,0.000118783260693478
UNC,250,2025-10-16,43,44,0.005958119015498536,0.9987635488144867,6.416261870107385e-05,0.000118783260693478
UNC,300,ALL,42,43,0.007421151966266068,0.9984371583815221,5.2757521459806396e-05,0.0001054898841847951
UNC,300,ALL,42,44,0.00744004184975987,0.9984307162221593,5.2757521459806396e-05,0.0001054898841847951
UNC,300,ALL,43,44,0.007381197198140684,0.9984456995384136,5.2757521459806396e-05,0.0001054898841847951
UNC,300,2025-09-04,42,43,0.007880183226954739,0.9983154886798831,6.466005090278228e-05,0.00011599919081195509
UNC,300,2025-09-04,42,44,0.008052730166768574,0.9982717354102408,6.466005090278228e-05,0.00011599919081195509
UNC,300,2025-09-04,43,44,0.007988226590666616,0.99829299527888,6.466005090278228e-05,0.00011599919081195509
UNC,300,2025-09-18,42,43,0.007757613942797291,0.9983527234040148,4.664336426187957e-05,8.89929597174266e-05
UNC,300,2025-09-18,42,44,0.00767328973589785,0.9983692504454927,4.664336426187957e-05,8.89929597174266e-05
UNC,300,2025-09-18,43,44,0.007741382766406928,0.9983568681523254,4.664336426187957e-05,8.89929597174266e-05
UNC,300,2025-10-02,42,43,0.0072650235015233565,0.9984768072084735,0.00010245323948196193,0.00018060968146049738
UNC,300,2025-10-02,42,44,0.007243238096449693,0.9984800216971932,0.00010245323948196193,0.00018060968146049738
UNC,300,2025-10-02,43,44,0.0070764944757529275,0.9985164790001574,0.00010245323948196193,0.00018060968146049738
UNC,300,2025-10-16,42,43,0.00680170970472145,0.9985898803743593,5.82292432303052e-05,0.0001019231990113667
UNC,300,2025-10-16,42,44,0.006795193057056603,0.9985906975031904,5.82292432303052e-05,0.0001019231990113667
UNC,300,2025-10-16,43,44,0.006740057398829193,0.9986029432978202,5.82292432303052e-05,0.0001019231990113667
UNC,600,ALL,42,43,0.012453177352038177,0.9973857744213098,7.32081559270199e-05,0.00013956874024989574
UNC,600,ALL,42,44,0.012385597439793327,0.997397496677016,7.32081559270199e-05,0.00013956874024989574
UNC,600,ALL,43,44,0.01234149745370867,0.9974095568290161,7.32081559270199e-05,0.00013956874024989574
UNC,600,2025-09-04,42,43,0.01341574787662192,0.997133174585654,0.00015095287975422185,0.00029840732541974724
UNC,600,2025-09-04,42,44,0.013812262659188283,0.9970448836715173,0.00015095287975422185,0.00029840732541974724
UNC,600,2025-09-04,43,44,0.013711006468494819,0.9970712530473892,0.00015095287975422185,0.00029840732541974724
UNC,600,2025-09-18,42,43,0.013110670181884759,0.9972301660471411,0.00013543240581042132,0.0002672728807184832
UNC,600,2025-09-18,42,44,0.012880639535797147,0.9972741846899843,0.00013543240581042132,0.0002672728807184832
UNC,600,2025-09-18,43,44,0.013019972043146755,0.9972493102774715,0.00013543240581042132,0.0002672728807184832
UNC,600,2025-10-02,42,43,0.012201527830369194,0.9974491195733972,3.027509173914033e-05,5.388101074776941e-05
UNC,600,2025-10-02,42,44,0.011876940269870854,0.9975125869810697,3.027509173914033e-05,5.388101074776941e-05
UNC,600,2025-10-02,43,44,0.011765231449326263,0.9975403450310827,3.027509173914033e-05,5.388101074776941e-05
UNC,600,2025-10-16,42,43,0.011133008641355243,0.9977012847421454,0.00014738335595751683,0.00028740268297799965
UNC,600,2025-10-16,42,44,0.011020414520630992,0.9977254943217234,0.00014738335595751683,0.00028740268297799965
UNC,600,2025-10-16,43,44,0.010936462034106186,0.997742004768669,0.00014738335595751683,0.00028740268297799965
CAP,200,ALL,42,43,0.004521550021551218,0.999055812351484,2.6508162626024857e-05,5.068252203566104e-05
CAP,200,ALL,42,44,0.00450916454646127,0.9990582992073267,2.6508162626024857e-05,5.068252203566104e-05
CAP,200,ALL,43,44,0.004466033168711792,0.9990672565181649,2.6508162626024857e-05,5.068252203566104e-05
CAP,200,2025-09-04,42,43,0.004979514462628572,0.9989528609200161,0.00019981638689737767,0.0003490422865961573
CAP,200,2025-09-04,42,44,0.005013790169251376,0.9989453909389254,0.00019981638689737767,0.0003490422865961573
CAP,200,2025-09-04,43,44,0.005054905397994937,0.9989370036382341,0.00019981638689737767,0.0003490422865961573
CAP,200,2025-09-18,42,43,0.004620822583640387,0.9990319315123479,2.2875685503734686e-05,4.510281456915344e-05
CAP,200,2025-09-18,42,44,0.004624211700543222,0.9990311052576135,2.2875685503734686e-05,4.510281456915344e-05
CAP,200,2025-09-18,43,44,0.00454264857138863,0.9990478685490239,2.2875685503734686e-05,4.510281456915344e-05
CAP,200,2025-10-02,42,43,0.00438678545798707,0.9990843096924358,0.00010835427937462491,0.00019584372081293822
CAP,200,2025-10-02,42,44,0.004246729574920004,0.999113661499148,0.00010835427937462491,0.00019584372081293822
CAP,200,2025-10-02,43,44,0.004292644956482966,0.9991039017448059,0.00010835427937462491,0.00019584372081293822
CAP,200,2025-10-16,42,43,0.004119793859006566,0.9991474772951547,2.678224830114201e-05,5.350075271315369e-05
CAP,200,2025-10-16,42,44,0.004173271427022587,0.9991362288210537,2.678224830114201e-05,5.350075271315369e-05
CAP,200,2025-10-16,43,44,0.003998542696057596,0.9991724578062409,2.678224830114201e-05,5.350075271315369e-05
CAP,250,ALL,42,43,0.005140830952314121,0.9989270324713034,4.8937108878668806e-05,9.597469834909944e-05
CAP,250,ALL,42,44,0.005124725790466018,0.9989302674298822,4.8937108878668806e-05,9.597469834909944e-05
CAP,250,ALL,43,44,0.005082500134151593,0.9989389857605939,4.8937108878668806e-05,9.597469834909944e-05
CAP,250,2025-09-04,42,43,0.0057217890233819246,0.9987974538834625,0.00017892152357158658,0.00032311153193864683
CAP,250,2025-09-04,42,44,0.005708221564027651,0.9988000612364715,0.00017892152357158658,0.00032311153193864683
CAP,250,2025-09-04,43,44,0.005783564158517022,0.9987843260289877,0.00017892152357158658,0.00032311153193864683
CAP,250,2025-09-18,42,43,0.005278828384969555,0.9988943832384407,1.3457966238236964e-05,2.4769708266703105e-05
CAP,250,2025-09-18,42,44,0.005270000958880409,0.9988962208750796,1.3457966238236964e-05,2.4769708266703105e-05
CAP,250,2025-09-18,43,44,0.00520658674568861,0.998909262448772,1.3457966238236964e-05,2.4769708266703105e-05
CAP,250,2025-10-02,42,43,0.00495538574150052,0.9989662122579678,0.0001424560261835241,0.00024698026786285077
CAP,250,2025-10-02,42,44,0.004814515092933427,0.9989955371199659,0.0001424560261835241,0.00024698026786285077
CAP,250,2025-10-02,43,44,0.0048576303892137185,0.9989864386782289,0.0001424560261835241,0.00024698026786285077
CAP,250,2025-10-16,42,43,0.004633866340380462,0.999041603350467,6.015998463934433e-05,0.00011197286910791249
CAP,250,2025-10-16,42,44,0.004731039186114536,0.9990213116944763,6.015998463934433e-05,0.00011197286910791249
CAP,250,2025-10-16,43,44,0.004512953166146042,0.9990663161433581,6.015998463934433e-05,0.00011197286910791249
CAP,300,ALL,42,43,0.005727379403818116,0.9988048329595265,5.4216112366992105e-05,0.0001042469820693448
CAP,300,ALL,42,44,0.0057111679836529,0.99880814903906,5.4216112366992105e-05,0.0001042469820693448
CAP,300,ALL,43,44,0.005673107443419424,0.9988159206931547,5.4216112366992105e-05,0.0001042469820693448
CAP,300,2025-09-04,42,43,0.0064035252074933465,0.9986543178771621,0.00021148437059276363,0.00040087966249058304
CAP,300,2025-09-04,42,44,0.006405091698706536,0.9986537514051319,0.00021148437059276363,0.00040087966249058304
CAP,300,2025-09-04,43,44,0.006493306781153593,0.9986350766503863,0.00021148437059276363,0.00040087966249058304
CAP,300,2025-09-18,42,43,0.005877287897171827,0.9987692447246426,5.433987341537106e-05,0.0001056965298620316
CAP,300,2025-09-18,42,44,0.005882253648070463,0.9987682553751039,5.433987341537106e-05,0.0001056965298620316
CAP,300,2025-09-18,43,44,0.005808229035547394,0.9987834143515496,5.433987341537106e-05,0.0001056965298620316
CAP,300,2025-10-02,42,43,0.005526080895892752,0.9988471725837679,0.00012058526588702476,0.0002316240305837436
CAP,300,2025-10-02,42,44,0.005357034556856003,0.9988825542710436,0.00012058526588702476,0.0002316240305837436
CAP,300,2025-10-02,43,44,0.0054144844624420384,0.9988704767778597,0.00012058526588702476,0.0002316240305837436
CAP,300,2025-10-16,42,43,0.005133549171541733,0.9989387187956886,9.770803365066963e-05,0.00019513918348779136
CAP,300,2025-10-16,42,44,0.005229564551991814,0.9989186797106812,9.770803365066963e-05,0.00019513918348779136
CAP,300,2025-10-16,43,44,0.005012234127120802,0.998963495577723,9.770803365066963e-05,0.00019513918348779136
CAP,600,ALL,42,43,0.009091860189437325,0.9981047821133703,7.168009807193031e-06,1.4009218661792389e-05
CAP,600,ALL,42,44,0.009056758079291195,0.9981118820071587,7.168009807193031e-06,1.4009218661792389e-05
CAP,600,ALL,43,44,0.0089675561800454,0.9981304619939836,7.168009807193031e-06,1.4009218661792389e-05
CAP,600,2025-09-04,42,43,0.010422932448693554,0.9978125088406647,0.00015760069220726905,0.00027916240935077496
CAP,600,2025-09-04,42,44,0.010435923066114516,0.9978090644968182,0.00015760069220726905,0.00027916240935077496
CAP,600,2025-09-04,43,44,0.010393692609642846,0.9978175967316368,0.00015760069220726905,0.00027916240935077496
CAP,600,2025-09-18,42,43,0.00939512800065002,0.9980345431052459,0.00012199670802290871,0.00021772531759545188
CAP,600,2025-09-18,42,44,0.009330966362355872,0.9980477004642867,0.00012199670802290871,0.00021772531759545188
