model,fold,n,optimal_log_shift,rmsle_all,mse_contribution_y0,mse_contribution_y_positive,rmsle_zero_rows,rmsle_positive_rows,auc_y_positive
BASE,2025-09-04,188518,-0.11734465876764338,1.7668833567997195,1.3828345986374884,1.7390421978983568,1.8597459844601614,1.7022125517621394,0.8402109222127274
BASE,2025-09-18,191025,-0.07873621159214053,1.7605095767798136,1.3705171919923147,1.728876777941124,1.875471293566372,1.6830190187164038,0.8420513316471882
BASE,2025-10-02,193694,-0.02097755276250928,1.748629223964952,1.3423542921884313,1.715349870715839,1.8610269778788044,1.6736005888133862,0.8435785791919536
BASE,2025-10-16,197379,-0.035387154112119984,1.7412785664479717,1.3240334274462862,1.7080176185248181,1.8493381199127794,1.669417590331512,0.8443152632519227
BASE,AGGREGATE,770616,nan,1.7475098625201952,1.3390369047297421,1.7148224123228337,1.8566334294940239,1.6745329111400393,0.84354333388602
ZERO2D,2025-09-04,188518,-0.11271433687689565,1.7669191743415928,1.3836661210140198,1.738337247641956,1.860305049152279,1.701867506423823,0.840210962550069
ZERO2D,2025-09-18,191025,-0.07420304362670621,1.7605145128134958,1.3711479863390985,1.728263363487842,1.8759028461954186,1.682720420286827,0.8420522430104542
ZERO2D,2025-10-02,193694,-0.017441581732531592,1.7485844594677786,1.3427220094020778,1.7148256024901456,1.861281860214901,1.6733448151434416,0.8435794252153779
ZERO2D,2025-10-16,197379,-0.031006154898439827,1.7412488203618983,1.3236325309419275,1.708314923469775,1.8490581234635477,1.6695628770379056,0.844317229633259
ZERO2D,AGGREGATE,770616,nan,1.747485106715659,1.3390606919223964,1.7147123848224282,1.8566468780074068,1.6744793749249658,0.8435447324332374
