method,fold,fraction,n_zeroed,base_rmsle,rmsle_all,delta_rmsle,rmsle_actual_zeros,rmsle_positives,zero_mse_contribution_base,zero_mse_contribution_new,positive_mse_contribution_base,positive_mse_contribution_new,share_improved_zero_error,share_lost_positive_error
HARD_ZERO_TOP_5PCT,2025-09-04,0.05,9426,1.7668833567997195,1.7682286968938616,0.0013453400941421112,1.855833717119945,1.7073767285123373,1.3828345986374884,1.3770226993017691,1.7390421978983568,1.7496100252171944,0.004202888285732644,0.006076809022580866
HARD_ZERO_TOP_5PCT,2025-09-18,0.05,9552,1.7605095767798136,1.7618647805010732,0.0013552037212596346,1.8721121113097554,1.6877234039272495,1.3705171919923147,1.3656120845990807,1.728876777941124,1.7385554201710138,0.003579019235872183,0.005598225595589302
HARD_ZERO_TOP_5PCT,2025-10-02,0.05,9685,1.748629223964952,1.7499949510265829,0.0013657270616309614,1.8584163994946554,1.6777622359887543,1.3423542921884313,1.3385909257504234,1.715349870715839,1.7238914028681085,0.0028035567509322986,0.00497946937711599
HARD_ZERO_TOP_5PCT,2025-10-16,0.05,9869,1.7412785664479717,1.742463134908313,0.0011845684603413176,1.8470554207485732,1.6730268018391183,1.3240334274462862,1.3207668482738801,1.7080176185248181,1.7154109282406262,0.0024671425242687606,0.004328591014297419
HARD_ZERO_TOP_5PCT,AGGREGATE,0.05,38532,1.7475098625201952,1.7487762094179229,0.0012663468977277177,1.8540111269137778,1.6785391263356535,1.3390369047297421,1.3352496905128441,1.7148224123228337,1.723038260197111,0.0028283120528797947,0.004791077965413595
HARD_ZERO_TOP_10PCT,2025-09-04,0.1,18852,1.7668833567997195,1.7715964556318313,0.004713098832111795,1.8488786686968322,1.7181858857454395,1.3828345986374884,1.3667207921091644,1.7390421978983568,1.7718332094981029,0.011652736013548565,0.01885578834106153
HARD_ZERO_TOP_10PCT,2025-09-18,0.1,19103,1.7605095767798136,1.7655973962354572,0.005087819455643627,1.8644093955656755,1.6995162925205236,1.3705171919923147,1.3543977114418317,1.728876777941124,1.7629364541515942,0.01176160404602446,0.019700464859636193
HARD_ZERO_TOP_10PCT,2025-10-02,0.1,19370,1.748629223964952,1.7535999817599184,0.004970757794966474,1.8840136780586776,1.66579830068943,1.3423542921884313,1.3757195885067688,1.715349870715839,1.6993933075216172,-0.024855804844146227,-0.009302220769435838
HARD_ZERO_TOP_10PCT,2025-10-16,0.1,19738,1.7412785664479717,1.746249932947961,0.004971366499989305,1.8728393408213824,1.6613209954734502,1.3240334274462862,1.3578986400190227,1.7080176185248181,1.6914901883017357,-0.025577309356950094,-0.009676381580511293
HARD_ZERO_TOP_10PCT,AGGREGATE,0.1,77063,1.7475098625201952,1.7524793759150739,0.0049695133948786255,1.8730977932422634,1.6713986424887872,1.3390369047297421,1.3627722459448057,1.7148224123228337,1.7084800569534433,-0.017725681145325942,-0.003698549379698924
