method,outer_fold,fitting_folds,amount_bin,amount_bin_id,p0_bin,p0_lo,p0_hi,n_cell,weight_sum,c_raw,reliability,c_pre_isotonic,correction,eligible
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,0,-inf,0.09687327412502003,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,1,0.09687327412502003,0.2581530812344921,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,2,0.2581530812344921,0.4511939753109917,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,3,0.4511939753109917,0.674640752206303,906,0.021240423442667227,0.08932929807938268,0.043336841098249305,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,4,0.674640752206303,inf,99663,2.404964072934873,-0.02476525058683012,0.8328639596199326,-0.020626084664727193,-0.020626084664727193,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,0,-inf,0.09687327412502003,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,1,0.09687327412502003,0.2581530812344921,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,2,0.2581530812344921,0.4511939753109917,385,0.010193845630700556,-0.08510682333567188,0.01888643610497915,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,3,0.4511939753109917,0.674640752206303,69413,1.6750311824679003,-0.009834949216961935,0.7763188798049501,-0.007635056759050461,-0.007491031371981348,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,4,0.674640752206303,inf,16743,0.40605622094634974,-0.015135467585735049,0.45567863266472525,-0.0068969091742090175,-0.007491031371981348,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,0,-inf,0.09687327412502003,3,7.165212478759617e-05,-2.3691730650615828,0.00014997750337449384,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,1,0.09687327412502003,0.2581530812344921,2218,0.0595661483971224,0.048572545382072535,0.09982896750382572,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,2,0.2581530812344921,0.4511939753109917,80711,1.9430617787930702,-0.01173659109695486,0.8014119609575915,-0.009405844485968004,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,3,0.4511939753109917,0.674640752206303,45929,1.0897585658801103,-0.020234766762199576,0.6966433587647317,-0.014096415881039668,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,4,0.674640752206303,inf,13,0.0003572009870852183,-1.5784373800734024,0.0006495777744466097,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,0,-inf,0.09687327412502003,2677,0.06816527256652732,0.01821396279089293,0.11804912466375622,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,1,0.09687327412502003,0.2581530812344921,79888,1.9179586116606724,0.01004801941724407,0.7997757488386994,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,2,0.2581530812344921,0.4511939753109917,34972,0.8206509312118029,-0.004558932617979034,0.636178418103762,-0.002900294541147544,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,3,0.4511939753109917,0.674640752206303,171,0.004005616113879726,-0.17981931846874513,0.008477517227703138,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,4,0.674640752206303,inf,1,4.053116086311107e-05,-2.8336474401852896,4.999750012499375e-05,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,0,-inf,0.09687327412502003,20040,0.49199654696436956,0.047033125495238845,0.5004995004995005,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,1,0.09687327412502003,0.2581530812344921,27304,0.6424900295000849,0.0322838035470468,0.5772027735498055,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,2,0.2581530812344921,0.4511939753109917,323,0.007777418439117333,-0.19711439742249254,0.015893322836195444,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,3,0.4511939753109917,0.674640752206303,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,4,0.674640752206303,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,0,-inf,0.09687327412502003,44381,1.0727921438802035,0.0210498073737271,0.6893493421972321,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,1,0.09687327412502003,0.2581530812344921,6574,0.1576538559524178,0.05377306549613071,0.24738466169940543,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,2,0.2581530812344921,0.4511939753109917,29,0.0007065339760379744,-0.5607555219493083,0.0014479005442108942,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,3,0.4511939753109917,0.674640752206303,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,4,0.674640752206303,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,0,-inf,0.09687327412502003,49319,1.1946204564071268,0.02852221552939954,0.7114788153320157,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,1,0.09687327412502003,0.2581530812344921,435,0.010840960562230682,0.0759229860037675,0.02128700758502569,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,2,0.2581530812344921,0.4511939753109917,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,3,0.4511939753109917,0.674640752206303,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,4,0.674640752206303,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,0,-inf,0.0975679353960404,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,1,0.0975679353960404,0.25977919270001687,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,2,0.25977919270001687,0.4528318957090087,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,3,0.4528318957090087,0.6760979306111276,875,0.020517261043798272,0.08475473449579388,0.041916167664670656,0.0,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,4,0.6760979306111276,inf,99295,2.233317255556405,-0.024920486124126843,0.8323483800662224,-0.02074252625587975,-0.02074252625587975,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,0,-inf,0.0975679353960404,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,1,0.0975679353960404,0.25977919270001687,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,2,0.25977919270001687,0.4528318957090087,378,0.01003648394381551,-0.09311894284389852,0.018549416036902543,0.0,0.0,False
