cutoff,eligible_fixed_l180,chronological_gap_days,calendar_gap_days,rms_smd_to_test,median_abs_smd_to_test,cosine_to_latest_test_direction,limitation
2025-07-03,True,225,140,0.06925575613267648,0.042323876254534945,0.48068103198424894,
2025-07-10,True,218,147,0.06801675383279654,0.046719606264495256,0.5088245274079862,
2025-07-17,True,211,154,0.07138478967786258,0.048707582127652964,0.5808929246680062,
2025-07-24,True,204,161,0.07054133235317576,0.047673768281855086,0.6112639010061566,
2025-07-31,True,197,168,0.06931993414927866,0.0446241928583137,0.6458192624067823,
2025-08-07,True,190,175,0.07024716410605931,0.04482730727787138,0.7096847653910682,
2025-08-14,True,183,182,0.07252900536297278,0.045956401032596295,0.7869203345298262,
2025-08-21,True,176,176,0.07690299550173778,0.048208805338718366,0.8474760559133557,
2025-08-28,True,169,169,0.08234318980283363,0.05308937633120796,0.9030254616779334,
2025-09-04,True,162,162,0.08087965323356182,0.0467556737602362,0.869584558124795,
2025-09-11,True,155,155,0.07761700314951475,0.04283904821838725,0.8686065337382071,
2025-09-18,True,148,148,0.07548411690581093,0.04730875893194694,0.9133158601833575,
2025-09-25,True,141,141,0.07625706127789389,0.05119701421827984,0.9493060488567916,
2025-10-02,True,134,134,0.07331497676817358,0.05270818306608144,0.9660426833646374,
2025-10-09,True,127,127,0.07420553278832631,0.05286369039539188,0.9711576431460648,
2025-10-16,True,120,120,0.08309330520302972,0.06702529857273971,0.9961227420334875,
2025-02-13,False,365,0,,,,"only 44 calendar days available; 1-block panel, not fixed-L180/3-block"
