score_quantile,model,weighted_fold_rmsle,weighted_residual_bias,folds_won_vs_production
1,S1-DIST-MIX,1.5398927358623618,0.045290235061766236,0
1,S1-ROUNDS,1.5411851668282892,0.04414000428498075,0
1,S1-SEEDAVG3,1.5403692965421503,0.04459606329732533,0
1,SEQ-01-MIX,1.538634419162886,0.03679725785519415,0
2,S1-DIST-MIX,1.8325933267761196,0.016879322484588122,0
2,S1-ROUNDS,1.8341515172385636,0.027216502530268014,0
2,S1-SEEDAVG3,1.833405213831288,0.026978993438518305,0
2,SEQ-01-MIX,1.8319341608138786,0.009001384372034104,0
3,S1-DIST-MIX,1.9277001788222483,-0.0030571139651212717,0
3,S1-ROUNDS,1.9295043944677714,0.006966438997619642,0
3,S1-SEEDAVG3,1.9289898191476662,0.00652200365987376,0
3,SEQ-01-MIX,1.92660580140706,-0.007311863874629645,0
4,S1-DIST-MIX,1.8387065438597554,-0.038577090319657774,0
4,S1-ROUNDS,1.8404762458321966,-0.04275960329932385,0
4,S1-SEEDAVG3,1.8399063615429525,-0.04254329540519624,0
4,SEQ-01-MIX,1.8371773111390768,-0.028453907194330653,0
5,S1-DIST-MIX,1.5737680921602506,-0.0205326067107937,0
5,S1-ROUNDS,1.575262190393194,-0.03553534725569179,0
5,S1-SEEDAVG3,1.5747814094946169,-0.035544870597708805,0
5,SEQ-01-MIX,1.5725539337312369,-0.01003318108484529,0
