task,cutoff_a,cutoff_b,gap_days,gap_group,history_support,panel_blocks,n_per_class,n_features,n,positive_rate,roc_auc,pr_auc,logloss,brier,ece10,mean_probability
p07_early,2025-07-03,2025-07-10,7,short,180,3,120000,195,240000,0.5,0.5153795948958333,0.5142524937506671,0.6927972764163147,0.24982503099538134,0.0025573842753966788,0.4998124357347687
p07_mid,2025-09-18,2025-09-25,7,short,180,3,120000,195,240000,0.5,0.5276119635069444,0.5234082596429828,0.691884704233534,0.2493699264967276,0.0001739655272414163,0.49983864289907115
p07_late,2025-10-09,2025-10-16,7,short,180,3,120000,195,240000,0.5,0.5235797177083333,0.520252325859041,0.6922532396967065,0.24955353764245167,0.0008369254045188502,0.49978227330024044
p28_early,2025-07-03,2025-07-31,28,medium,180,3,120000,195,240000,0.5,0.5481763322222222,0.5435816497668351,0.6896130333576912,0.24823906317767502,0.00787368303462863,0.49977762452239793
p28_mid,2025-08-21,2025-09-18,28,medium,180,3,120000,195,240000,0.5,0.5522638377083334,0.5459400362058667,0.6888393645386125,0.2478560757768512,0.005236527253935748,0.49984344833418726
p28_late,2025-09-18,2025-10-16,28,medium,180,3,120000,195,240000,0.5,0.5583899970833333,0.5524631147834553,0.6877848186034294,0.2473344275123395,0.006967935029044743,0.4997867362661908
p56_early,2025-07-03,2025-08-28,56,long,180,3,120000,195,240000,0.5,0.5833075397916667,0.5761874789361466,0.6827136699573494,0.24483081448677024,0.014014600701257587,0.49980912739150224
p56_late,2025-08-21,2025-10-16,56,long,180,3,120000,195,240000,0.5,0.5804154382291666,0.5727679630929067,0.6831481193809992,0.24504621517470299,0.008318769569694996,0.4998543627957503
p105_max,2025-07-03,2025-10-16,105,max,180,3,120000,195,240000,0.5,0.623386683298611,0.6161508463681633,0.670154352269148,0.23872655881432936,0.01998598046780876,0.4998197453710561
real_20251016_to_20260213,2025-10-16,2026-02-13,120,real-test,180,3,120000,195,240000,0.5,0.6443466778819444,0.6317734601617155,0.6625709731922377,0.2350497472222686,0.026789931109733846,0.4998585515078778
