model,feature,gain,split,gain_share,task
p07_early,trend_pres_30_60,665.4006346702575,62.0,0.0289217939103589,p07_early
p07_early,rec_cat,615.4054320335388,64.2,0.0267487407573778,p07_early
p07_early,rec_over_gap,437.3917151451111,45.4,0.0190113329990948,p07_early
p07_early,trend_pres_30_90,385.4282339096069,39.0,0.0167527281573624,p07_early
p07_early,weekend_share,375.1035383224488,37.8,0.0163039628535737,p07_early
p07_early,rec_over_buygap,362.0114323616028,37.6,0.0157349114118963,p07_early
p07_early,trend_srch_30_90,314.5812810897827,33.2,0.0136733488152503,p07_early
p07_early,dlog_buyd_30_60,313.4557218551636,24.4,0.0136244261203784,p07_early
p07_early,rec_buy,304.85512790679934,31.4,0.0132505992967768,p07_early
p07_early,buygap_cv,297.8829853057861,31.6,0.012947553491117,p07_early
p07_early,trend_srch_14_30,296.93494720458983,30.8,0.0129063467937481,p07_early
p07_early,trend_pres_7_14,292.6045282363892,31.8,0.0127181241224459,p07_early
p07_early,trend_srch_60_180,283.0539510726929,29.0,0.0123030060566354,p07_early
p07_early,trend_pres_7_30,278.96137647628785,29.6,0.0121251213464733,p07_early
p07_early,trend_pres_14_30,276.9386408805847,30.0,0.012037202671639,p07_early
p07_early,w14_srch2cart,253.4279969215393,27.0,0.0110153070438714,p07_early
p07_early,trend_srch_7_14,252.90013694763184,26.2,0.0109923634868872,p07_early
p07_early,trend_pres_60_180,247.66350975036625,27.0,0.0107647522633726,p07_early
p07_early,w180_ponly_share,245.2755989074707,25.6,0.0106609611611763,p07_early
p07_early,rec_cart,244.62718534469604,27.0,0.0106327777143112,p07_early
p07_early,trend_srch_30_60,244.2020791053772,26.2,0.0106143003723867,p07_early
p07_early,w7_lgmv_mean,232.66438751220704,24.0,0.0101128119140471,p07_early
p07_early,w60_lgmv_std,232.6606731414795,24.6,0.0101126504680564,p07_early
p07_early,w7_gmv_max,225.22581405639647,23.8,0.0097894925824047,p07_early
p07_early,dlog_gmv_30_60,222.2964575767517,16.8,0.0096621674192175,p07_early
p07_early,w7_srch_per_day,221.72042541503907,23.6,0.0096371300468455,p07_early
p07_early,rec_search,204.39152631759643,21.8,0.0088839254024917,p07_early
p07_early,w14_days_presence_only,203.0897087097168,19.8,0.008827341596282,p07_early
p07_early,w14_lgmv_std,202.84721450805665,21.2,0.0088168015292015,p07_early
