bin,lo,hi,n,mean_pred,observed_rate,model
0,0.0,0.1,0,,,D1-missingness
1,0.1,0.2,58431,0.1824875406515298,0.16925946843285242,D1-missingness
2,0.2,0.30000000000000004,926800,0.24337723709330972,0.24240289167026327,D1-missingness
3,0.30000000000000004,0.4,28450,0.3578601035847605,0.41012302284710017,D1-missingness
4,0.4,0.5,1544,0.4878702009087091,0.5466321243523317,D1-missingness
5,0.5,0.6000000000000001,5391,0.5076571613069236,0.5451678723798924,D1-missingness
6,0.6000000000000001,0.7000000000000001,0,,,D1-missingness
7,0.7000000000000001,0.8,0,,,D1-missingness
8,0.8,0.9,0,,,D1-missingness
9,0.9,1.0,0,,,D1-missingness
