model,feature,gain,split,gain_share
D1-production,tenure_frac,1788308.7090011598,891.4,0.5009015465613671
D1-production,w365_days_cat,321136.96577911376,234.0,0.0899497955845824
D1-production,gap_max_frac,304831.3364013672,500.2,0.0853826227402855
D1-production,trend_gmv_90_365,213728.40466461185,79.6,0.0598648812152758
D1-production,gap_cv,201338.17610473637,275.0,0.0563944039891391
D1-production,gap_std,151484.61927490233,325.4,0.042430526504252
D1-production,w365_days_buy,105783.99613113404,225.4,0.0296298770994199
D1-production,w365_days_presence_only,80334.3645500183,228.4,0.022501488273579
D1-production,rec_cat,58517.3141418457,30.0,0.0163905778721166
D1-production,first_buy_frac,42608.30150680542,48.8,0.0119344965517908
D1-production,dlog_buyd_90_365,37059.4471572876,115.0,0.0103802739998749
D1-production,trend_srch_90_365,34306.47429351807,27.6,0.0096091720317623
D1-production,rec_buy,29695.28706970215,33.4,0.0083175880897574
D1-production,w365_orders,27717.819940948488,80.8,0.0077637036636058
D1-production,dlog_gmv_90_365,23141.99885253906,37.0,0.0064820257025045
D1-production,gap_mean,20427.60106887817,59.2,0.0057217285340263
D1-production,trend_pres_60_180,20279.634320831297,58.6,0.0056802833559296
D1-production,w180_days_present,19407.96265640259,66.0,0.0054361299373345
D1-production,buygap_std,18896.11653442383,51.6,0.0052927629041091
D1-production,trend_pres_90_365,17591.165950012208,38.6,0.0049272489620096
D1-production,trend_gmv_60_180,12262.726182556153,11.6,0.0034347640756789
D1-production,w180_days_presence_only,9127.046611785889,34.8,0.002556466755639
D1-production,w180_days_cat,7165.394771575928,13.6,0.0020070121588849
D1-production,w180_days_buy,3313.3467109680178,23.8,0.0009280615161489
D1-production,w365_days_present,3003.8496383666998,14.0,0.0008413720304119
D1-production,trend_srch_60_180,2895.0021560668947,7.8,0.0008108840772141
D1-production,buygap_cv,2489.3805702209474,6.6,0.0006972703154255
D1-production,dlog_buyd_60_180,2235.9291450500486,9.2,0.0006262790988602
D1-production,w180_presence_rate,2176.955325317382,10.8,0.0006097606547224
D1-production,w90_days_buy,1690.6890747070313,8.6,0.0004735584902162
D1-production,buygap_mean,1536.3298637390135,11.0,0.0004303227965629
D1-production,w30_aov,769.364598083496,4.4,0.0002154974222906
D1-production,w365_presence_rate,706.4660018920898,3.4,0.0001978796564371
D1-production,rec_cart,474.6502571105957,5.8,0.0001329485489086
D1-production,w60_aov,373.5692047119141,1.0,0.0001046359565583
D1-production,w365_lgmv_std,300.2294410705566,1.4,8.409364143816798e-05
D1-production,rec_over_buygap,278.31811447143554,2.2,7.795632447188135e-05
D1-production,w365_days_search,226.37219848632813,2.0,6.340638154339212e-05
D1-production,w30_lgmv_mean,210.0348419189453,0.8,5.883032197932652e-05
D1-production,w365_gmv_cat,203.94140090942383,2.4,5.71235618376424e-05
D1-production,w90_lgmv_mean,180.83282165527345,1.8,5.065089689507495e-05
D1-production,w180_gmv,179.09739990234374,0.4,5.016480887481124e-05
D1-production,w365_gmv_max,177.5616584777832,2.4,4.973465089883718e-05
D1-production,w365_days_cart,164.6589225769043,1.2,4.612062143340279e-05
D1-production,w180_gmv_cat,137.90888214111328,1.0,3.862799079450669e-05
D1-production,w180_gmv_max,136.88014221191406,1.0,3.833984288192781e-05
D1-production,w180_days_search,123.17864151000975,1.0,3.450208105856296e-05
D1-production,w180_lgmv_mean,116.31300048828123,1.0,3.2579029300994886e-05
D1-production,trend_pres_30_90,106.67807998657229,1.4,2.988030812606003e-05
D1-production,w90_lgmv_std,100.3160614013672,0.6,2.8098319964541032e-05
D1-production,w60_lgmv_mean,94.4955795288086,0.8,2.6468015108884756e-05
D1-production,w180_orders,80.46120147705078,0.6,2.253701503279675e-05
D1-production,w180_cat_gmv_share,77.74120178222657,0.4,2.177514878066354e-05
D1-production,w365_searches,71.6411003112793,0.8,2.006652305759954e-05
D1-production,w180_days_cart,62.216400146484375,0.4,1.742668416140598e-05
D1-production,w90_orders,53.69190063476562,0.4,1.5038989594137186e-05
D1-production,w90_days_present,41.20113983154297,0.4,1.1540353495922964e-05
D1-production,dlog_gmv_60_180,39.95048065185547,0.4,1.1190046463264972e-05
D1-production,w30_days_present,30.13194122314453,0.4,8.439894009127434e-06
D1-production,w90_aov,22.399200439453125,0.2,6.273969413327309e-06
D1-production,w180_carts,22.21100006103516,0.2,6.221254879120489e-06
D1-production,w365_carts,20.161319732666016,0.4,5.64714368608718e-06
D1-production,w90_gmv_max,19.670939636230468,0.2,5.50978924192934e-06
D1-production,w90_searches,17.96112060546875,0.2,5.030872490846154e-06
D1-production,w365_gmv,15.771339416503906,0.2,4.41751933841638e-06
D1-production,w180_lgmv_std,12.761119842529297,0.2,3.574363102301331e-06
D1-production,w90_days_presence_only,11.317379760742188,0.2,3.1699745109133728e-06
D1-production,w180_aov,10.371420288085938,0.2,2.9050132318831178e-06
D1-production,rec_search,8.739420318603516,0.2,2.44789343786364e-06
D1-production,w180_gmv_per_day,8.438580322265626,0.2,2.363628781166121e-06
D1-production,w14_gmv30eq,0.0,0.0,0.0
D1-production,w14_gmv_per_day,0.0,0.0,0.0
D1-production,w14_gmv_max,0.0,0.0,0.0
D1-production,w14_gmv_cat,0.0,0.0,0.0
D1-production,dlog_buyd_14_30,0.0,0.0,0.0
D1-production,dlog_gmv_14_30,0.0,0.0,0.0
D1-production,dlog_buyd_7_30,0.0,0.0,0.0
D1-production,dlog_buyd_7_14,0.0,0.0,0.0
D1-production,dlog_buyd_30_90,0.0,0.0,0.0
D1-production,dlog_gmv_7_14,0.0,0.0,0.0
D1-production,dlog_gmv_30_90,0.0,0.0,0.0
D1-production,dlog_gmv_30_60,0.0,0.0,0.0
D1-production,dlog_gmv_7_30,0.0,0.0,0.0
D1-production,trend_gmv_7_14,0.0,0.0,0.0
D1-production,trend_gmv_30_90,0.0,0.0,0.0
D1-production,trend_gmv_30_60,0.0,0.0,0.0
D1-production,trend_gmv_14_30,0.0,0.0,0.0
D1-production,rec_over_gap,0.0,0.0,0.0
D1-production,rec_any,0.0,0.0,0.0
D1-production,dlog_buyd_30_60,0.0,0.0,0.0
D1-production,trend_pres_30_60,0.0,0.0,0.0
D1-production,trend_pres_7_30,0.0,0.0,0.0
D1-production,trend_pres_7_14,0.0,0.0,0.0
D1-production,trend_pres_14_30,0.0,0.0,0.0
D1-production,trend_srch_14_30,0.0,0.0,0.0
D1-production,trend_srch_30_90,0.0,0.0,0.0
D1-production,trend_srch_30_60,0.0,0.0,0.0
D1-production,trend_srch_7_14,0.0,0.0,0.0
D1-production,trend_gmv_7_30,0.0,0.0,0.0
D1-production,w180_searches,0.0,0.0,0.0
D1-production,w180_ponly_share,0.0,0.0,0.0
D1-production,w180_lgmv,0.0,0.0,0.0
D1-production,w180_gmv30eq,0.0,0.0,0.0
D1-production,w14_orders,0.0,0.0,0.0
D1-production,w14_lgmv,0.0,0.0,0.0
D1-production,w14_lgmv_std,0.0,0.0,0.0
D1-production,w14_lgmv_mean,0.0,0.0,0.0
D1-production,w14_srch2cart,0.0,0.0,0.0
D1-production,w14_searches,0.0,0.0,0.0
D1-production,w14_presence_rate,0.0,0.0,0.0
D1-production,w14_ponly_share,0.0,0.0,0.0
D1-production,w14_srch_per_day,0.0,0.0,0.0
D1-production,w180_cart2ord,0.0,0.0,0.0
D1-production,w180_buyday_rate,0.0,0.0,0.0
D1-production,trend_srch_7_30,0.0,0.0,0.0
D1-production,w14_aov,0.0,0.0,0.0
