scheme,model,cutoff,rmsle_cal,offset
ordinary,S1-E10,2025-09-04,1.7720932692130194,-0.08818965831564286
ordinary,S1-E10,2025-09-18,1.7653715541597514,-0.05324028255234387
ordinary,S1-E10,2025-10-02,1.7532560255020375,-0.03259485542400441
ordinary,S1-E10,2025-10-16,1.7449516362056237,-0.04387118199049642
ordinary,S1-E02,2025-09-04,1.7715221656894633,-0.1758524590347353
ordinary,S1-E02,2025-09-18,1.76426697076522,-0.10853020840952435
ordinary,S1-E02,2025-10-02,1.7528700998603925,-0.03186661453415559
ordinary,S1-E02,2025-10-16,1.7451316740083374,-0.06401832568997122
ordinary,S1-E03a,2025-09-04,1.776991165734125,-0.08171608833146897
ordinary,S1-E03a,2025-09-18,1.7720337131895636,-0.0475301842616148
ordinary,S1-E03a,2025-10-02,1.7614534516578586,-0.06234947720770449
ordinary,S1-E03a,2025-10-16,1.7553448642465437,-0.08443674906610224
ordinary,S1-DIST,2025-09-04,1.7701492349196506,-0.07727053594752385
ordinary,S1-DIST,2025-09-18,1.7638236506069218,-0.04513225744261832
ordinary,S1-DIST,2025-10-02,1.7518319201898858,-0.03615573527977523
ordinary,S1-DIST,2025-10-16,1.7442646866224032,-0.047333987708981964
ordinary,S1-ROUNDS,2025-09-04,1.7710585353628023,-0.08071524900366236
ordinary,S1-ROUNDS,2025-09-18,1.764798728982834,-0.0481133572209267
ordinary,S1-ROUNDS,2025-10-02,1.7524253461227577,-0.031553570515668664
ordinary,S1-ROUNDS,2025-10-16,1.744473081696871,-0.04359864749818828
ordinary,S1-SEEDAVG3,2025-09-04,1.7703419204990705,-0.08158907412703924
ordinary,S1-SEEDAVG3,2025-09-18,1.763991673368647,-0.048225538528088786
ordinary,S1-SEEDAVG3,2025-10-02,1.751819091995199,-0.03153503132619964
ordinary,S1-SEEDAVG3,2025-10-16,1.7439055509764476,-0.04407004447984149
ordinary,SEQ-01-S42,2025-09-04,1.7705661523806533,-0.04886491378941576
ordinary,SEQ-01-S42,2025-09-18,1.7647469393778832,-0.049593392555814284
ordinary,SEQ-01-S42,2025-10-02,1.7535221152776266,0.014384834639692482
ordinary,SEQ-01-S42,2025-10-16,1.747043085659896,0.042736009633455044
ordinary,S1-DIST-MIX,2025-09-04,1.7691335677860023,-0.10888705245231804
ordinary,S1-DIST-MIX,2025-09-18,1.7625660980009892,-0.06560404224642381
ordinary,S1-DIST-MIX,2025-10-02,1.7507266459314086,-0.036946821494989235
