rule,fold,seg_share,delta,base,after,gain
rec_buy>90: сдвиг из прошлых фолдов,2025-09-18,0.196995,-0.123476,1.762566,1.762751,0.000185
rec_buy>90: сдвиг из прошлых фолдов,2025-10-02,0.195871,-0.112582,1.750727,1.750563,-0.000164
rec_buy>90: сдвиг из прошлых фолдов,2025-10-16,0.194980,-0.106752,1.743135,1.743081,-0.000054
rec_buy>120: сдвиг из прошлых фолдов,2025-09-18,0.165141,-0.122683,1.762566,1.762683,0.000117
rec_buy>120: сдвиг из прошлых фолдов,2025-10-02,0.163970,-0.114656,1.750727,1.750604,-0.000123
rec_buy>120: сдвиг из прошлых фолдов,2025-10-16,0.164329,-0.108499,1.743135,1.743075,-0.000060
rec_buy>180: сдвиг из прошлых фолдов,2025-09-18,0.131784,-0.133165,1.762566,1.762748,0.000182
rec_buy>180: сдвиг из прошлых фолдов,2025-10-02,0.131290,-0.119038,1.750727,1.750647,-0.000080
rec_buy>180: сдвиг из прошлых фолдов,2025-10-16,0.131260,-0.111798,1.743135,1.743111,-0.000024
пол z >= 0.05,2025-09-04,0.000000,0.050000,1.769134,1.769134,0.000000
пол z >= 0.05,2025-09-18,0.000000,0.050000,1.762566,1.762566,0.000000
пол z >= 0.05,2025-10-02,0.000000,0.050000,1.750727,1.750727,0.000000
пол z >= 0.05,2025-10-16,0.000000,0.050000,1.743135,1.743135,0.000000
пол z >= 0.1,2025-09-04,0.000027,0.100000,1.769134,1.769134,0.000000
пол z >= 0.1,2025-09-18,0.000031,0.100000,1.762566,1.762566,0.000000
пол z >= 0.1,2025-10-02,0.000026,0.100000,1.750727,1.750727,-0.000000
пол z >= 0.1,2025-10-16,0.000081,0.100000,1.743135,1.743135,-0.000000
пол z >= 0.2,2025-09-04,0.000950,0.200000,1.769134,1.769134,0.000000
пол z >= 0.2,2025-09-18,0.001089,0.200000,1.762566,1.762569,0.000002
пол z >= 0.2,2025-10-02,0.001389,0.200000,1.750727,1.750729,0.000002
пол z >= 0.2,2025-10-16,0.001723,0.200000,1.743135,1.743134,-0.000001
