fold,arm,var_vs_mix,var_vs_base,corr_pred_mix,corr_resid_mix
2025-09-04,BASE,0.01137,0.0,0.99754,0.99819
2025-09-04,SELF,0.01495,0.01763,0.99676,0.99762
2025-09-04,P30,0.01594,0.01999,0.99655,0.99746
2025-09-04,FULL,0.01494,0.01908,0.99677,0.99762
2025-09-18,BASE,0.01005,0.0,0.99783,0.99839
2025-09-18,SELF,0.01384,0.01601,0.99701,0.99778
2025-09-18,P30,0.01503,0.01864,0.99675,0.99759
2025-09-18,FULL,0.01361,0.0173,0.99706,0.99781
2025-10-02,BASE,0.01028,0.0,0.99779,0.99833
2025-10-02,SELF,0.01357,0.01506,0.99708,0.99779
2025-10-02,P30,0.01436,0.01761,0.99691,0.99766
2025-10-02,FULL,0.01314,0.01636,0.99717,0.99786
2025-10-16,BASE,0.00957,0.0,0.99797,0.99843
2025-10-16,SELF,0.01274,0.01409,0.99729,0.99791
2025-10-16,P30,0.01331,0.01644,0.99717,0.99781
2025-10-16,FULL,0.01248,0.01532,0.99735,0.99795
