probe,requested_gap,actual_gap,seed,rounds,gcv,fold_0904,fold_0918,fold_1002,fold_1016
e10,30,35,42,150,1.751414965,1.772000,1.765380,1.752990,1.744560
e10,60,63,42,150,1.753911209,1.772040,1.766310,1.755950,1.747530
e10,90,91,42,150,1.754935808,1.772750,1.767450,1.755830,1.749130
e10,120,126,42,150,1.756366450,1.778179,1.769361,1.756602,1.750273
e03a,30,35,42,100,1.760902675,1.777640,1.773700,1.762530,1.754800
e03a,60,63,42,100,1.762134947,1.777050,1.772810,1.763280,1.757030
e03a,90,91,42,100,1.762042833,1.777890,1.772520,1.762940,1.756990
e03a,120,126,42,100,1.762634600,1.780300,1.775100,1.763500,1.756881
e02,30,35,42,150,1.751409562,1.771310,1.764110,1.752990,1.744960
e02,60,63,42,100,1.753212921,1.771500,1.765850,1.754880,1.746930
e02,90,91,42,100,1.754729392,1.773870,1.768250,1.755650,1.748490
e02,120,126,42,100,1.756804925,1.776337,1.770547,1.757773,1.750444
