segment,exp,n,share,mse_share,rmsle,auc,rmsle_folds,auc_folds
ВСЕ,S1-SEEDAVG3,770616,1.0,1.0,1.7504564762115478,0.8432629256538532,"[1.77034, 1.76399, 1.75182, 1.74391]","[0.83947, 0.84157, 0.84325, 0.84417]"
ВСЕ,PT-OD-AVG3,770616,1.0,1.0,1.7505635976791383,0.843225960761131,"[1.77053, 1.7641, 1.75186, 1.74404]","[0.83938, 0.8415, 0.84324, 0.84413]"
ВСЕ,PT-FULL-AVG3,770616,1.0,1.0,1.750450309117635,0.843260150887269,"[1.77023, 1.76399, 1.75168, 1.74398]","[0.83945, 0.84153, 0.84332, 0.84414]"
ВСЕ,PT-SHUF-AVG3,770616,1.0,1.0,1.7504284620285033,0.8432568963296393,"[1.77037, 1.76396, 1.75175, 1.74389]","[0.83946, 0.84155, 0.84329, 0.84414]"
rec_buy 15-60,S1-SEEDAVG3,223152,0.28957613130275,0.35866832733154297,1.9491180340449015,0.7195393701692142,"[1.9722, 1.95721, 1.95171, 1.94292]","[0.71737, 0.72039, 0.7178, 0.72047]"
rec_buy 15-60,PT-OD-AVG3,223152,0.28957613130275,0.35865694284439087,1.9492029269536337,0.7194196274582877,"[1.97231, 1.95729, 1.95186, 1.94297]","[0.71718, 0.72027, 0.71762, 0.72039]"
rec_buy 15-60,PT-FULL-AVG3,223152,0.28957613130275,0.3586810231208801,1.9492360830307007,0.7195163898661786,"[1.97196, 1.95719, 1.95157, 1.94324]","[0.71735, 0.72033, 0.71792, 0.72038]"
rec_buy 15-60,PT-SHUF-AVG3,223152,0.28957613130275,0.3587040901184082,1.9492364724477131,0.7193944419866752,"[1.97228, 1.95714, 1.95182, 1.94309]","[0.71733, 0.72033, 0.71768, 0.72027]"
w180_days_buy 2-15,S1-SEEDAVG3,438482,0.5690019413040995,0.7065854072570801,1.952231232325236,0.717870892799327,"[1.97145, 1.96381, 1.95084, 1.94763]","[0.71619, 0.71831, 0.71905, 0.71738]"
w180_days_buy 2-15,PT-OD-AVG3,438482,0.5690019413040995,0.7066345810890198,1.9524507204691568,0.7177587011352637,"[1.97164, 1.96403, 1.95094, 1.94791]","[0.71601, 0.71808, 0.71896, 0.7173]"
w180_days_buy 2-15,PT-FULL-AVG3,438482,0.5690019413040995,0.7065954208374023,1.9522694190343222,0.7178325029322634,"[1.97124, 1.96385, 1.9507, 1.94779]","[0.71615, 0.71825, 0.71916, 0.71727]"
w180_days_buy 2-15,PT-SHUF-AVG3,438482,0.5690019413040995,0.7066135406494141,1.9522328058878582,0.7178489767012209,"[1.97149, 1.96395, 1.95067, 1.94768]","[0.7162, 0.71815, 0.71918, 0.71731]"
пересечение 2-15 x 15-60,S1-SEEDAVG3,181406,0.23540388468446022,0.3034115433692932,1.9894708474477132,0.6777802215838558,"[2.00976, 1.99427, 1.99351, 1.98372]","[0.67649, 0.67903, 0.6755, 0.67877]"
пересечение 2-15 x 15-60,PT-OD-AVG3,181406,0.23540388468446022,0.30345234274864197,1.9897334893544516,0.6775415968233165,"[2.00994, 1.99457, 1.99387, 1.98393]","[0.67633, 0.67873, 0.67511, 0.67861]"
пересечение 2-15 x 15-60,PT-FULL-AVG3,181406,0.23540388468446022,0.30345532298088074,1.9897220770517985,0.6776646726995142,"[2.00943, 1.99444, 1.99359, 1.98414]","[0.67656, 0.67891, 0.67547, 0.67859]"
пересечение 2-15 x 15-60,PT-SHUF-AVG3,181406,0.23540388468446022,0.3034479022026062,1.989589023590088,0.6775585785066789,"[2.00984, 1.99432, 1.9936, 1.98387]","[0.67649, 0.67888, 0.67534, 0.67847]"
rec_buy 0-7,S1-SEEDAVG3,249881,0.3242613701246795,0.28741246461868286,1.6488533973693846,0.8130924699970392,"[1.67454, 1.6532, 1.64442, 1.64677]","[0.81048, 0.81553, 0.81152, 0.8136]"
rec_buy 0-7,PT-OD-AVG3,249881,0.3242613701246795,0.2874482274055481,1.6491074085235595,0.8130032148638949,"[1.67472, 1.65335, 1.64459, 1.6471]","[0.8104, 0.81533, 0.81158, 0.81346]"
rec_buy 0-7,PT-FULL-AVG3,249881,0.3242613701246795,0.287452757358551,1.6488625923792521,0.8130998275812542,"[1.67467, 1.65337, 1.64451, 1.64669]","[0.81032, 0.81537, 0.81157, 0.81364]"
rec_buy 0-7,PT-SHUF-AVG3,249881,0.3242613701246795,0.28742513060569763,1.648836302757263,0.813083843050335,"[1.67457, 1.65333, 1.64435, 1.64674]","[0.81048, 0.81543, 0.81162, 0.81355]"
rec_buy 8-14,S1-SEEDAVG3,101150,0.1312586294600683,0.14763927459716797,1.8567269802093507,0.7541287726393904,"[1.8852, 1.87003, 1.84215, 1.85713]","[0.75558, 0.75755, 0.75791, 0.7512]"
rec_buy 8-14,PT-OD-AVG3,101150,0.1312586294600683,0.14763599634170532,1.8568578402201334,0.7540705464984203,"[1.88539, 1.86987, 1.84235, 1.85729]","[0.75539, 0.75746, 0.75764, 0.75127]"
rec_buy 8-14,PT-FULL-AVG3,101150,0.1312586294600683,0.1476268172264099,1.8567205588022868,0.7540627624061038,"[1.88493, 1.8698, 1.84201, 1.85728]","[0.7556, 0.75741, 0.75813, 0.751]"
rec_buy 8-14,PT-SHUF-AVG3,101150,0.1312586294600683,0.14762260019779205,1.8565556446711222,0.7541450719637369,"[1.88513, 1.86986, 1.84211, 1.85688]","[0.75564, 0.75748, 0.75793, 0.75123]"
rec_buy 15-30,S1-SEEDAVG3,123720,0.1605468871655922,0.19786691665649414,1.9460286378860474,0.7251812050087223,"[1.96495, 1.9482, 1.94961, 1.94133]","[0.72402, 0.72598, 0.72358, 0.72593]"
rec_buy 15-30,PT-OD-AVG3,123720,0.1605468871655922,0.1978657841682434,1.946376093228658,0.7249823292108889,"[1.96454, 1.94849, 1.94957, 1.94198]","[0.72418, 0.7257, 0.72358, 0.72561]"
rec_buy 15-30,PT-FULL-AVG3,123720,0.1605468871655922,0.1978989541530609,1.9464871644973754,0.7250011695476326,"[1.96435, 1.94828, 1.9497, 1.9422]","[0.72417, 0.72582, 0.72353, 0.72563]"
rec_buy 15-30,PT-SHUF-AVG3,123720,0.1605468871655922,0.19787906110286713,1.9461050589879354,0.7250716085367676,"[1.96503, 1.94813, 1.94959, 1.94149]","[0.72393, 0.72589, 0.72356, 0.72577]"
rec_buy 31-60,S1-SEEDAVG3,99432,0.1290292441371578,0.16080142557621002,1.9530011415481567,0.6870569850614213,"[1.98169, 1.96925, 1.95409, 1.94481]","[0.68742, 0.6894, 0.68582, 0.68704]"
rec_buy 31-60,PT-OD-AVG3,99432,0.1290292441371578,0.16079117357730865,1.9527706305185955,0.6869515998739361,"[1.98249, 1.96905, 1.95446, 1.94414]","[0.68676, 0.68944, 0.68534, 0.68716]"
