exp,label,wcv,delta_vs_avg3,f0,f1,f2,f3
S1-SEED42,base s42,1.751076,0.00062,1.77106,1.7648,1.75243,1.74447
S1-SEED43,base s43,1.751105,0.000649,1.77102,1.7647,1.75246,1.74454
S1-SEED44,base s44,1.75111,0.000654,1.77121,1.76458,1.7525,1.74453
S1-SEEDAVG3,BASE avg3,1.750456,0.0,1.77034,1.76399,1.75182,1.74391
PT-OD-S42,A s42,1.751113,0.000657,1.7716,1.76454,1.75229,1.74461
PT-OD-S43,A s43,1.751353,0.000896,1.77104,1.76496,1.75281,1.74476
PT-OD-S44,A s44,1.751181,0.000724,1.77124,1.76493,1.75243,1.74461
PT-OD-AVG3,A avg3,1.750564,0.000107,1.77053,1.7641,1.75186,1.74404
PT-FULL-S42,B s42,1.751119,0.000663,1.77099,1.76472,1.75264,1.74448
PT-FULL-S43,B s43,1.75117,0.000714,1.77108,1.76472,1.75221,1.74477
PT-FULL-S44,B s44,1.751066,0.000609,1.77094,1.76471,1.75218,1.74461
PT-FULL-AVG3,B avg3,1.75045,-6e-6,1.77023,1.76399,1.75168,1.74398
PT-SHUF-S42,C s42,1.751113,0.000656,1.77138,1.76471,1.75261,1.74443
PT-SHUF-S43,C s43,1.751088,0.000632,1.77091,1.76467,1.75239,1.74456
PT-SHUF-S44,C s44,1.751015,0.000558,1.77107,1.76459,1.75218,1.74453
PT-SHUF-AVG3,C avg3,1.750428,-0.000028,1.77037,1.76396,1.75175,1.74389
