family,best_name,delta,wins_recent,latest_delta
adaptive_blend,blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,-0.0016507644461350188,3,-0.0018111533415456904
candidate_pband,cand_pband_stack,-0.0016285375158494079,3,-0.0017811694816183277
candidate_simplex,cand_simplex_l0p08,-0.001616733033219416,3,-0.001762203073962132
greedy,greedy35_finalizable,-0.0008082710023654313,2,-0.0012756169421554997
hierarchical,hier_trust_bias_ridge_recentpow1p7_s075,-0.0013961545468362739,3,-0.0018024423141691504
local_bias,bias_p_spread_cand_pband_stack,-0.0016352017720130323,3,-0.001778654917288458
local_trust,trust_p_ridge_recentpow1p7_s075,-0.0014134153688772245,2,-0.0018318904780549872
occ_cal,occ_platt_guard,-0.00014949840166519717,3,-6.0561646717527395e-05
occurrence_meta,metaocc_l31_plain__blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,-0.0017383516493707063,3,-0.002131191792551501
occurrence_meta_risk,metaocc_l31_risk__blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,-0.0017665443820891783,3,-0.0020268591063281605
occurrence_overlay,occ_occ_r10_fast_adapt__blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,-0.0016246012273087196,3,-0.0019148299253186618
pband,pband_finalizable,-0.0005813005213659868,3,-0.0008359789140688356
raw_new,recent_hurdle_fast12,-0.00029988090988778044,2,-0.000772734623965432
ridge_predonly,ridge_predonly_finalizable,-0.0011185690373051985,3,-0.0013661150134705036
ridge_shrink,ridge_all_s75,-0.0015483269403566999,3,-0.0016711404303517696
ridge_subset,ridge_all_s075,-0.0015483269403566999,3,-0.0016711404303517696
ridge_temporal,ridge_recentpow1p7_s075,-0.0016104864992871153,3,-0.001758720923562107
simplex,simplex_finalizable,-0.0005745816653485096,2,-0.0008337940141449618
super_pband,super_pband_l0p06,-0.0016502988790711253,3,-0.0018087109325475303
super_ridge,superridge_a20_s95,-0.0013506876016066963,3,-0.0017718438994676067
super_ridge_recent,superridge_recent2_a80_s80,-0.001323692919410598,3,-0.0017710509038633138
super_simplex,super_simplex_l0p05,-0.001649835875720947,3,-0.0018081223267445434
